Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1078,184,2007,197.25,180.25,22.05882353
2,1076,189,2007,197.25,180.25,51.47058824
3,1074,196,2007,197.25,180.25,92.64705882
4,1172,197,2007,197.25,180.25,98.52941176
5,1003,193,2007,197.25,180.25,75
6,1040,185,2007,197.25,180.25,27.94117647
7,1035,196,2007,197.25,180.25,92.64705882
8,1073,183,2007,197.25,180.25,16.17647059
9,1054,181,2007,197.25,180.25,4.411764706
10,1065,182,2007,197.25,180.25,10.29411765
11,1146,189,2007,197.25,180.25,51.47058824
12,1070,192,2007,197.25,180.25,69.11764706
13,1018,181,2007,197.25,180.25,4.411764706
14,1149,185,2007,197.25,180.25,27.94117647
15,1158,186,2007,197.25,180.25,33.82352941
16,1158,191,2007,197.25,180.25,63.23529412
17,1085,196,2007,197.25,180.25,92.64705882
18,1169,184,2007,197.25,180.25,22.05882353
19,1153,197,2007,197.25,180.25,98.52941176
20,1156,189,2007,197.25,180.25,51.47058824
21,1176,193,2007,197.25,180.25,75
22,1128,193,2007,197.25,180.25,75
23,1039,182,2007,197.25,180.25,10.29411765
24,1105,192,2007,197.25,180.25,69.11764706
25,1020,189,2007,197.25,180.25,51.47058824
26,1093,183,2007,197.25,180.25,16.17647059
27,1123,185,2007,197.25,180.25,27.94117647
28,1026,185,2007,197.25,180.25,27.94117647
29,1166,192,2007,197.25,180.25,69.11764706
30,1058,187,2007,197.25,180.25,39.70588235
31,1054,189,2007,197.25,180.25,51.47058824
32,1101,181,2007,197.25,180.25,4.411764706
33,1048,182,2007,197.25,180.25,10.29411765
34,1118,193,2007,197.25,180.25,75
35,1127,197,2007,197.25,180.25,98.52941176
36,1160,197,2007,197.25,180.25,98.52941176
37,1086,189,2007,197.25,180.25,51.47058824
38,1108,182,2007,197.25,180.25,10.29411765
39,1134,186,2007,197.25,180.25,33.82352941
40,1031,182,2007,197.25,186.75,0
41,1081,195,2008,197.25,186.75,78.57142857
42,1156,197,2008,197.25,186.75,97.61904762
43,1147,197,2008,197.25,186.75,97.61904762
44,1087,191,2008,197.25,186.75,40.47619048
45,1085,188,2008,197.25,186.75,11.9047619
46,1141,197,2008,197.25,186.75,97.61904762
47,1162,191,2008,197.25,186.75,40.47619048
48,1021,191,2008,197.25,186.75,40.47619048
49,1019,194,2008,197.25,186.75,69.04761905
50,1135,197,2008,197.25,186.75,97.61904762
51,1080,191,2008,197.25,186.75,40.47619048
52,1017,191,2008,197.25,186.75,40.47619048
53,1082,191,2008,197.25,186.75,40.47619048
54,1122,193,2008,197.25,186.75,59.52380952
55,1063,192,2008,197.25,186.75,50
56,1030,196,2008,197.25,186.75,88.0952381
57,1118,194,2008,197.25,186.75,69.04761905
58,1143,195,2008,197.25,186.75,78.57142857
59,1003,195,2008,197.25,186.75,78.57142857
60,1046,193,2008,197.25,186.75,59.52380952
61,1027,190,2008,197.25,186.75,30.95238095
62,1066,190,2008,197.25,186.75,30.95238095
63,1140,196,2008,197.25,186.75,88.0952381
64,1106,187,2008,197.25,186.75,2.380952381
65,1160,193,2008,197.25,186.75,59.52380952
66,1029,194,2008,197.25,186.75,69.04761905
67,1001,197,2008,197.25,186.75,97.61904762
68,1140,195,2008,197.25,186.75,78.57142857
69,1085,190,2008,197.25,186.75,30.95238095
70,1060,191,2008,197.25,186.75,40.47619048
71,1125,191,2008,197.25,186.75,40.47619048
72,1051,189,2008,197.25,186.75,21.42857143
73,1053,188,2008,197.25,186.75,11.9047619
74,1012,191,2008,197.25,186.75,40.47619048
75,1175,188,2008,197.25,186.75,11.9047619
76,1042,187,2008,197.25,186.75,2.380952381
77,1025,192,2008,197.25,186.75,50
78,1040,190,2008,197.25,186.75,30.95238095
79,1076,189,2008,197.25,186.75,21.42857143
80,1027,195,2008,197.25,186.75,78.57142857
81,1090,192,2008,197.25,186.75,50
82,1089,193,2008,197.25,186.75,59.52380952
83,1082,197,2008,197.25,186.75,97.61904762
84,1033,189,2008,197.25,186.75,21.42857143
85,1158,188,2008,197.25,186.75,11.9047619
86,1074,187,2008,197.25,186.75,2.380952381
87,1124,190,2008,197.25,186.75,30.95238095
88,1154,190,2008,197.25,186.75,30.95238095
89,1001,189,2008,197.25,186.75,21.42857143
90,1177,188,2008,197.25,186.75,11.9047619
91,1155,191,2008,197.25,186.75,40.47619048
92,1143,194,2008,197.25,186.75,69.04761905
93,1133,191,2008,197.25,186.75,40.47619048
94,1034,188,2008,197.25,186.75,11.9047619
95,1121,191,2008,197.25,186.75,40.47619048
96,1062,188,2008,197.25,186.75,11.9047619
97,1126,190,2008,197.25,186.75,30.95238095
98,1093,191,2008,197.25,186.75,40.47619048
99,1163,192,2008,197.25,186.75,50
100,1069,193,2008,197.25,183.25,69.64285714
101,1000,190,2009,197.25,183.25,48.21428571
102,1128,187,2009,197.25,183.25,26.78571429
