Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1111,193,2007,196,180.75,80.32786885
2,1010,193,2007,196,180.75,80.32786885
3,1069,196,2007,196,180.75,100
4,1178,184,2007,196,180.75,21.31147541
5,1141,190,2007,196,180.75,60.6557377
6,1104,192,2007,196,180.75,73.7704918
7,1121,195,2007,196,180.75,93.44262295
8,1101,183,2007,196,180.75,14.75409836
9,1036,187,2007,196,180.75,40.98360656
10,1165,190,2007,196,180.75,60.6557377
11,1066,190,2007,196,180.75,60.6557377
12,1167,189,2007,196,180.75,54.09836066
13,1032,182,2007,196,180.75,8.196721311
14,1075,190,2007,196,180.75,60.6557377
15,1124,183,2007,196,180.75,14.75409836
16,1073,186,2007,196,180.75,34.42622951
17,1147,190,2007,196,180.75,60.6557377
18,1086,190,2007,196,180.75,60.6557377
19,1044,195,2007,196,180.75,93.44262295
20,1174,188,2007,196,180.75,47.54098361
21,1014,190,2007,196,180.75,60.6557377
22,1027,187,2007,196,180.75,40.98360656
23,1172,187,2007,196,180.75,40.98360656
24,1018,188,2007,196,180.75,47.54098361
25,1144,191,2007,196,180.75,67.21311475
26,1082,181,2007,196,180.75,1.639344262
27,1039,194,2007,196,180.75,86.8852459
28,1163,186,2007,196,180.75,34.42622951
29,1123,188,2007,196,180.75,47.54098361
30,1108,186,2007,196,180.75,34.42622951
31,1116,185,2007,196,180.75,27.86885246
32,1067,187,2007,196,180.75,40.98360656
33,1119,190,2007,196,180.75,60.6557377
34,1096,186,2007,196,180.75,34.42622951
35,1125,187,2007,196,180.75,40.98360656
36,1090,187,2007,196,180.75,40.98360656
37,1049,186,2007,196,180.75,34.42622951
38,1089,183,2007,196,180.75,14.75409836
39,1146,183,2008,196.75,182.25,5.172413793
40,1150,188,2008,196.75,182.25,39.65517241
41,1014,195,2008,196.75,182.25,87.93103448
42,1165,189,2008,196.75,182.25,46.55172414
43,1131,196,2008,196.75,182.25,94.82758621
44,1096,193,2008,196.75,182.25,74.13793103
45,1126,184,2008,196.75,182.25,12.06896552
46,1120,191,2008,196.75,182.25,60.34482759
47,1090,186,2008,196.75,182.25,25.86206897
48,1077,185,2008,196.75,182.25,18.96551724
49,1016,186,2008,196.75,182.25,25.86206897
50,1011,187,2008,196.75,182.25,32.75862069
51,1159,188,2008,196.75,182.25,39.65517241
52,1027,193,2008,196.75,182.25,74.13793103
53,1168,196,2008,196.75,182.25,94.82758621
54,1010,191,2008,196.75,182.25,60.34482759
55,1031,196,2008,196.75,182.25,94.82758621
56,1149,193,2008,196.75,182.25,74.13793103
57,1096,190,2008,196.75,182.25,53.44827586
58,1160,196,2008,196.75,182.25,94.82758621
59,1063,184,2008,196.75,182.25,12.06896552
60,1051,185,2008,196.75,182.25,18.96551724
61,1051,195,2008,196.75,182.25,87.93103448
62,1159,185,2008,196.75,182.25,18.96551724
63,1143,193,2008,196.75,182.25,74.13793103
64,1109,184,2008,196.75,182.25,12.06896552
65,1166,183,2008,196.75,182.25,5.172413793
66,1083,187,2008,196.75,182.25,32.75862069
67,1142,186,2008,196.75,182.25,25.86206897
68,1052,196,2008,196.75,182.25,94.82758621
69,1043,190,2008,196.75,182.25,53.44827586
70,1178,183,2008,196.75,182.25,5.172413793
71,1180,186,2008,196.75,182.25,25.86206897
72,1010,190,2008,196.75,182.25,53.44827586
73,1074,186,2008,196.75,182.25,25.86206897
74,1031,183,2008,196.75,182.25,5.172413793
75,1024,195,2008,196.75,182.25,87.93103448
76,1168,187,2008,196.75,182.25,32.75862069
77,1066,187,2008,196.75,182.25,32.75862069
78,1151,188,2008,196.75,182.25,39.65517241
79,1164,194,2008,196.75,182.25,81.03448276
80,1029,193,2008,196.75,182.25,74.13793103
81,1126,186,2009,196.75,179,39.43661972
82,1154,186,2009,196.75,179,39.43661972
83,1170,179,2009,196.75,179,0
84,1043,188,2009,196.75,179,50.70422535
85,1100,184,2009,196.75,179,28.16901408
86,1147,191,2009,196.75,179,67.6056338
87,1135,188,2009,196.75,179,50.70422535
88,1138,181,2009,196.75,179,11.26760563
89,1079,183,2009,196.75,179,22.53521127
90,1041,189,2009,196.75,179,56.33802817
91,1170,180,2009,196.75,179,5.633802817
92,1148,188,2009,196.75,179,50.70422535
93,1117,195,2009,196.75,179,90.14084507
94,1025,194,2009,196.75,179,84.50704225
95,1017,186,2009,196.75,179,39.43661972
96,1153,192,2009,196.75,179,73.23943662
97,1059,185,2009,196.75,179,33.8028169
98,1015,180,2009,196.75,179,5.633802817
99,1129,184,2009,196.75,179,28.16901408
100,1153,195,2009,196.75,179,90.14084507
