Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1024,191,2007,195.25,178.75,74.24242424
2,1179,185,2010,197.25,184.75,2
3,1061,187,2010,197.25,184.75,18
4,1109,189,2010,197.25,184.75,34
5,1098,192,2010,197.25,184.75,58
6,1019,189,2010,197.25,184.75,34
7,1133,196,2010,197.25,184.75,90
8,1036,196,2010,197.25,184.75,90
9,1142,191,2010,197.25,184.75,50
10,1035,189,2010,197.25,184.75,34
11,1017,190,2010,197.25,184.75,42
12,1124,190,2010,197.25,184.75,42
13,1115,189,2010,197.25,184.75,34
14,1163,189,2010,197.25,184.75,34
15,1088,192,2011,198.25,187.5,41.86046512
16,1025,194,2011,198.25,187.5,60.46511628
17,1011,193,2011,198.25,187.5,51.1627907
18,1074,194,2011,198.25,187.5,60.46511628
19,1054,196,2011,198.25,187.5,79.06976744
20,1123,198,2011,198.25,187.5,97.6744186
21,1025,192,2011,198.25,187.5,41.86046512
22,1019,197,2011,198.25,187.5,88.37209302
23,1012,197,2011,198.25,187.5,88.37209302
24,1172,197,2011,198.25,187.5,88.37209302
25,1014,194,2011,198.25,187.5,60.46511628
26,1037,190,2011,198.25,187.5,23.25581395
27,1169,188,2011,198.25,187.5,4.651162791
28,1143,197,2011,198.25,187.5,88.37209302
29,1178,195,2011,198.25,187.5,69.76744186
30,1155,192,2011,198.25,187.5,41.86046512
31,1141,198,2011,198.25,187.5,97.6744186
32,1175,198,2011,198.25,187.5,97.6744186
33,1016,188,2011,198.25,187.5,4.651162791
34,1010,194,2011,198.25,187.5,60.46511628
35,1045,195,2011,198.25,187.5,69.76744186
36,1148,196,2011,198.25,187.5,79.06976744
37,1068,197,2011,198.25,187.5,88.37209302
38,1144,197,2011,198.25,187.5,88.37209302
39,1109,193,2011,198.25,187.5,51.1627907
40,1118,198,2011,198.25,187.5,97.6744186
41,1118,189,2011,198.25,187.5,13.95348837
42,1060,198,2011,198.25,187.5,97.6744186
43,1052,188,2011,198.25,187.5,4.651162791
44,1089,191,2011,198.25,187.5,32.55813953
45,1044,197,2011,198.25,187.5,88.37209302
46,1011,193,2011,198.25,187.5,51.1627907
47,1074,197,2011,198.25,187.5,88.37209302
48,1027,190,2011,198.25,187.5,23.25581395
49,1017,193,2011,198.25,187.5,51.1627907
50,1088,188,2011,198.25,187.5,4.651162791
51,1048,196,2011,198.25,187.5,79.06976744
52,1030,188,2011,198.25,187.5,4.651162791
53,1156,192,2011,198.25,187.5,41.86046512
54,1091,190,2011,198.25,187.5,23.25581395
55,1033,191,2012,197.5,185.75,44.68085106
56,1031,188,2012,197.5,185.75,19.14893617
57,1018,191,2012,197.5,185.75,44.68085106
58,1093,195,2012,197.5,185.75,78.72340426
59,1032,188,2012,197.5,185.75,19.14893617
60,1042,195,2012,197.5,185.75,78.72340426
61,1026,193,2012,197.5,185.75,61.70212766
62,1044,191,2012,197.5,185.75,44.68085106
63,1173,193,2012,197.5,185.75,61.70212766
64,1099,192,2012,197.5,185.75,53.19148936
65,1119,197,2012,197.5,185.75,95.74468085
66,1061,190,2012,197.5,185.75,36.17021277
67,1146,194,2012,197.5,185.75,70.21276596
68,1016,194,2012,197.5,185.75,70.21276596
69,1173,196,2012,197.5,185.75,87.23404255
70,1041,196,2012,197.5,185.75,87.23404255
71,1098,196,2012,197.5,185.75,87.23404255
72,1128,197,2012,197.5,185.75,95.74468085
