Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1071,176,2007,190.5,172.5,19.44444444
2,1087,187,2007,190.5,172.5,80.55555556
3,1054,180,2007,190.5,172.5,41.66666667
4,1092,179,2007,190.5,172.5,36.11111111
5,1098,173,2007,190.5,172.5,2.777777778
6,1157,174,2007,190.5,172.5,8.333333333
7,1104,176,2007,190.5,172.5,19.44444444
8,1130,175,2007,190.5,172.5,13.88888889
9,1098,184,2007,190.5,172.5,63.88888889
10,1125,181,2007,190.5,172.5,47.22222222
11,1136,178,2007,190.5,172.5,30.55555556
12,1146,187,2007,190.5,172.5,80.55555556
13,1152,183,2007,190.5,172.5,58.33333333
14,1072,181,2007,190.5,172.5,47.22222222
15,1156,181,2007,190.5,172.5,47.22222222
16,1070,188,2007,190.5,172.5,86.11111111
17,1135,190,2007,190.5,172.5,97.22222222
18,1155,185,2007,190.5,172.5,69.44444444
19,1085,185,2007,190.5,172.5,69.44444444
20,1065,183,2007,190.5,172.5,58.33333333
21,1101,186,2007,190.5,172.5,75
22,1090,173,2007,190.5,172.5,2.777777778
23,1058,181,2007,190.5,172.5,47.22222222
24,1103,184,2007,190.5,172.5,63.88888889
25,1153,173,2007,190.5,172.5,2.777777778
26,1163,181,2007,190.5,172.5,47.22222222
27,1079,186,2007,190.5,172.5,75
28,1061,182,2007,190.5,172.5,52.77777778
29,1092,176,2007,190.5,172.5,19.44444444
30,1080,177,2007,190.5,172.5,25
31,1100,176,2007,190.5,172.5,19.44444444
32,1097,183,2007,190.5,172.5,58.33333333
33,1131,189,2007,190.5,172.5,91.66666667
34,1164,178,2007,190.5,172.5,30.55555556
35,1139,176,2007,190.5,172.5,19.44444444
36,1112,195,2008,195.25,181.75,98.14814815
37,1100,188,2008,195.25,181.75,46.2962963
38,1140,189,2008,195.25,181.75,53.7037037
39,1081,191,2008,195.25,181.75,68.51851852
40,1083,185,2008,195.25,181.75,24.07407407
41,1138,186,2008,195.25,181.75,31.48148148
42,1092,183,2008,195.25,181.75,9.259259259
43,1149,193,2008,195.25,181.75,83.33333333
