Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1146,196,2007,197.25,189.75,83.33333333
2,1127,196,2007,197.25,189.75,83.33333333
3,1095,193,2007,197.25,189.75,43.33333333
4,1072,191,2007,197.25,189.75,16.66666667
5,1054,193,2007,197.25,189.75,43.33333333
6,1133,197,2007,197.25,189.75,96.66666667
7,1071,193,2007,197.25,189.75,43.33333333
8,1098,193,2007,197.25,189.75,43.33333333
9,1071,193,2007,197.25,189.75,43.33333333
10,1050,190,2007,197.25,189.75,3.333333333
11,1094,191,2007,197.25,189.75,16.66666667
12,1052,197,2007,197.25,189.75,96.66666667
13,1090,194,2007,197.25,189.75,56.66666667
14,1122,191,2007,197.25,189.75,16.66666667
15,1116,194,2007,197.25,189.75,56.66666667
16,1161,192,2007,197.25,189.75,30
17,1156,191,2007,197.25,189.75,16.66666667
18,1108,194,2007,197.25,189.75,56.66666667
19,1070,194,2007,197.25,189.75,56.66666667
20,1110,196,2007,197.25,189.75,83.33333333
21,1080,191,2007,197.25,189.75,16.66666667
22,1107,192,2007,197.25,189.75,30
23,1134,193,2007,197.25,189.75,43.33333333
24,1075,191,2007,197.25,189.75,16.66666667
25,1149,190,2007,197.25,189.75,3.333333333
26,1136,197,2007,197.25,189.75,96.66666667
27,1096,194,2007,197.25,189.75,56.66666667
28,1080,195,2007,197.25,189.75,70
29,1114,193,2007,197.25,189.75,43.33333333
30,1128,194,2007,197.25,189.75,56.66666667
31,1120,194,2007,197.25,189.75,56.66666667
32,1145,190,2007,197.25,189.75,3.333333333
33,1143,196,2007,197.25,189.75,83.33333333
34,1137,196,2007,197.25,189.75,83.33333333
35,1165,197,2007,197.25,189.75,96.66666667
36,1058,194,2008,198.25,192.25,29.16666667
37,1125,194,2008,198.25,192.25,29.16666667
38,1093,198,2008,198.25,192.25,95.83333333
39,1065,197,2008,198.25,192.25,79.16666667
40,1131,195,2008,198.25,192.25,45.83333333
41,1104,196,2008,198.25,192.25,62.5
42,1137,198,2008,198.25,192.25,95.83333333
43,1126,197,2008,198.25,192.25,79.16666667
44,1093,196,2008,198.25,192.25,62.5
45,1157,193,2008,198.25,192.25,12.5
46,1127,197,2008,198.25,192.25,79.16666667
47,1078,193,2008,198.25,192.25,12.5
48,1124,198,2008,198.25,192.25,95.83333333
49,1091,198,2008,198.25,192.25,95.83333333
50,1150,195,2008,198.25,192.25,45.83333333
51,1067,194,2008,198.25,192.25,29.16666667
52,1120,197,2008,198.25,192.25,79.16666667
53,1086,198,2008,198.25,192.25,95.83333333
54,1070,197,2008,198.25,192.25,79.16666667
55,1101,193,2008,198.25,192.25,12.5
56,1140,196,2008,198.25,192.25,62.5
57,1136,193,2008,198.25,192.25,12.5
58,1072,197,2008,198.25,192.25,79.16666667
59,1130,197,2008,198.25,192.25,79.16666667
60,1127,194,2008,198.25,192.25,29.16666667
61,1087,197,2008,198.25,192.25,79.16666667
62,1152,195,2008,198.25,192.25,45.83333333
63,1150,198,2008,198.25,192.25,95.83333333
64,1149,197,2008,198.25,192.25,79.16666667
65,1162,194,2008,198.25,192.25,29.16666667
66,1081,193,2008,198.25,192.25,12.5
67,1063,194,2008,198.25,192.25,29.16666667
68,1115,194,2008,198.25,192.25,29.16666667
69,1086,198,2008,198.25,192.25,95.83333333
70,1099,198,2008,198.25,192.25,95.83333333
71,1078,194,2009,198.25,187.5,60.46511628
72,1162,198,2009,198.25,187.5,97.6744186
73,1097,193,2009,198.25,187.5,51.1627907
74,1096,188,2009,198.25,187.5,4.651162791
75,1110,194,2009,198.25,187.5,60.46511628
76,1102,194,2009,198.25,187.5,60.46511628
77,1095,189,2009,198.25,187.5,13.95348837
78,1158,189,2009,198.25,187.5,13.95348837
79,1139,190,2009,198.25,187.5,23.25581395
80,1131,194,2009,198.25,187.5,60.46511628
81,1054,194,2009,198.25,187.5,60.46511628
82,1138,197,2009,198.25,187.5,88.37209302
83,1074,193,2009,198.25,187.5,51.1627907
84,1145,196,2009,198.25,187.5,79.06976744
85,1106,191,2009,198.25,187.5,32.55813953
86,1082,194,2009,198.25,187.5,60.46511628
87,1155,196,2009,198.25,187.5,79.06976744
88,1132,195,2009,198.25,187.5,69.76744186
89,1157,198,2009,198.25,187.5,97.6744186
90,1151,188,2009,198.25,187.5,4.651162791
91,1109,190,2009,198.25,187.5,23.25581395
92,1093,195,2009,198.25,187.5,69.76744186
93,1066,197,2009,198.25,187.5,88.37209302
94,1139,196,2009,198.25,187.5,79.06976744
95,1069,193,2009,198.25,187.5,51.1627907
96,1053,189,2009,198.25,187.5,13.95348837
97,1144,190,2009,198.25,187.5,23.25581395
98,1119,195,2009,198.25,187.5,69.76744186
99,1158,189,2009,198.25,187.5,13.95348837
100,1059,189,2009,198.25,187.5,13.95348837
101,1078,192,2009,198.25,187.5,41.86046512
102,1135,195,2009,198.25,187.5,69.76744186
103,1154,192,2009,198.25,187.5,41.86046512
104,1092,196,2009,198.25,187.5,79.06976744
105,1145,190,2009,198.25,187.5,23.25581395
106,1088,197,2010,198,187.5,90.47619048
107,1101,193,2010,198,187.5,52.38095238
108,1087,194,2010,198,187.5,61.9047619
109,1060,196,2010,198,187.5,80.95238095
110,1117,198,2010,198,187.5,100
111,1131,191,2010,198,187.5,33.33333333
112,1085,198,2010,198,187.5,100
113,1141,196,2010,198,187.5,80.95238095
114,1145,198,2010,198,187.5,100
115,1120,195,2010,198,187.5,71.42857143
116,1150,194,2010,198,187.5,61.9047619
117,1155,197,2010,198,187.5,90.47619048
118,1076,196,2010,198,187.5,80.95238095
119,1141,192,2010,198,187.5,42.85714286
120,1102,195,2010,198,187.5,71.42857143
121,1102,192,2010,198,187.5,42.85714286
122,1064,190,2010,198,187.5,23.80952381
123,1073,188,2010,198,187.5,4.761904762
124,1115,194,2010,198,187.5,61.9047619
125,1085,198,2010,198,187.5,100
126,1091,193,2010,198,187.5,52.38095238
127,1059,189,2010,198,187.5,14.28571429
128,1154,195,2010,198,187.5,71.42857143
129,1149,190,2010,198,187.5,23.80952381
130,1086,192,2010,198,187.5,42.85714286
131,1057,197,2010,198,187.5,90.47619048
132,1064,194,2010,198,187.5,61.9047619
133,1142,194,2010,198,187.5,61.9047619
134,1145,192,2010,198,187.5,42.85714286
135,1093,195,2010,198,187.5,71.42857143
136,1150,188,2010,198,187.5,4.761904762
137,1057,188,2010,198,187.5,4.761904762
138,1091,195,2010,198,187.5,71.42857143
139,1070,190,2010,198,187.5,23.80952381
140,1069,197,2010,198,187.5,90.47619048
141,1116,198,2011,198.25,192.25,95.83333333
142,1082,194,2011,198.25,192.25,29.16666667
143,1155,196,2011,198.25,192.25,62.5
144,1152,193,2011,198.25,192.25,12.5
145,1121,194,2011,198.25,192.25,29.16666667
146,1107,194,2011,198.25,192.25,29.16666667
147,1123,193,2011,198.25,192.25,12.5
148,1128,194,2011,198.25,192.25,29.16666667
149,1147,195,2011,198.25,192.25,45.83333333
150,1121,197,2011,198.25,192.25,79.16666667
151,1060,197,2011,198.25,192.25,79.16666667
152,1144,193,2011,198.25,192.25,12.5
153,1165,197,2011,198.25,192.25,79.16666667
154,1132,196,2011,198.25,192.25,62.5
155,1077,194,2011,198.25,192.25,29.16666667
156,1120,198,2011,198.25,192.25,95.83333333
157,1051,194,2011,198.25,192.25,29.16666667
158,1081,194,2011,198.25,192.25,29.16666667
159,1060,193,2011,198.25,192.25,12.5
160,1137,196,2011,198.25,192.25,62.5
161,1106,195,2011,198.25,192.25,45.83333333
162,1056,195,2011,198.25,192.25,45.83333333
163,1091,197,2011,198.25,192.25,79.16666667
164,1112,195,2011,198.25,192.25,45.83333333
165,1143,195,2011,198.25,192.25,45.83333333
166,1094,197,2011,198.25,192.25,79.16666667
167,1109,193,2011,198.25,192.25,12.5
168,1097,195,2011,198.25,192.25,45.83333333
169,1136,198,2011,198.25,192.25,95.83333333
170,1131,197,2011,198.25,192.25,79.16666667
171,1132,195,2011,198.25,192.25,45.83333333
172,1131,193,2011,198.25,192.25,12.5
173,1101,193,2011,198.25,192.25,12.5
174,1123,197,2011,198.25,192.25,79.16666667
175,1164,197,2011,198.25,192.25,79.16666667
176,1118,196,2012,197.75,192.5,66.66666667
177,1145,196,2012,197.75,192.5,66.66666667
178,1146,194,2012,197.75,192.5,28.57142857
179,1165,194,2012,197.75,192.5,28.57142857
180,1092,194,2012,197.75,192.5,28.57142857
181,1154,197,2012,197.75,192.5,85.71428571
182,1112,193,2012,197.75,192.5,9.523809524
183,1117,194,2012,197.75,192.5,28.57142857
184,1063,193,2012,197.75,192.5,9.523809524
185,1050,197,2012,197.75,192.5,85.71428571
186,1079,197,2012,197.75,192.5,85.71428571
187,1138,195,2012,197.75,192.5,47.61904762
188,1078,195,2012,197.75,192.5,47.61904762
189,1086,195,2012,197.75,192.5,47.61904762
190,1159,197,2012,197.75,192.5,85.71428571
191,1162,196,2012,197.75,192.5,66.66666667
192,1145,197,2012,197.75,192.5,85.71428571
193,1094,195,2012,197.75,192.5,47.61904762
194,1164,193,2012,197.75,192.5,9.523809524
195,1154,196,2012,197.75,192.5,66.66666667
196,1099,193,2012,197.75,192.5,9.523809524
197,1076,193,2012,197.75,192.5,9.523809524
198,1138,197,2012,197.75,192.5,85.71428571
199,1123,194,2012,197.75,192.5,28.57142857
200,1110,195,2012,197.75,192.5,47.61904762
201,1093,196,2012,197.75,192.5,66.66666667
202,1122,197,2012,197.75,192.5,85.71428571
203,1068,195,2012,197.75,192.5,47.61904762
204,1161,194,2012,197.75,192.5,28.57142857
205,1068,193,2012,197.75,192.5,9.523809524
206,1091,196,2012,197.75,192.5,66.66666667
207,1158,194,2012,197.75,192.5,28.57142857
208,1077,197,2012,197.75,192.5,85.71428571
209,1098,196,2012,197.75,192.5,66.66666667
210,1124,196,2012,197.75,192.5,66.66666667
211,1102,193,2013,197.5,192.25,14.28571429
212,1108,196,2013,197.5,192.25,71.42857143
213,1089,194,2013,197.5,192.25,33.33333333
214,1073,194,2013,197.5,192.25,33.33333333
215,1061,193,2013,197.5,192.25,14.28571429
216,1132,196,2013,197.5,192.25,71.42857143
217,1112,196,2013,197.5,192.25,71.42857143
218,1136,193,2013,197.5,192.25,14.28571429
219,1074,197,2013,197.5,192.25,90.47619048
220,1161,197,2013,197.5,192.25,90.47619048
221,1104,193,2013,197.5,192.25,14.28571429
222,1130,197,2013,197.5,192.25,90.47619048
223,1123,195,2013,197.5,192.25,52.38095238
224,1143,195,2013,197.5,192.25,52.38095238
