Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1160,190,2007,196.25,177,67.53246753
2,1123,185,2007,196.25,177,41.55844156
3,1100,183,2007,196.25,177,31.16883117
4,1053,189,2007,196.25,177,62.33766234
5,1153,178,2007,196.25,177,5.194805195
6,1160,180,2007,196.25,177,15.58441558
7,1094,183,2007,196.25,177,31.16883117
8,1115,192,2007,196.25,177,77.92207792
9,1066,183,2007,196.25,177,31.16883117
10,1137,185,2007,196.25,177,41.55844156
11,1062,182,2007,196.25,177,25.97402597
12,1165,178,2007,196.25,177,5.194805195
13,1118,196,2007,196.25,177,98.7012987
14,1106,177,2007,196.25,177,0
15,1115,196,2007,196.25,177,98.7012987
16,1118,196,2007,196.25,177,98.7012987
17,1087,182,2007,196.25,177,25.97402597
18,1082,189,2007,196.25,177,62.33766234
19,1107,189,2007,196.25,177,62.33766234
20,1154,189,2007,196.25,177,62.33766234
21,1068,188,2007,196.25,177,57.14285714
22,1160,181,2007,196.25,177,20.77922078
23,1135,188,2007,196.25,177,57.14285714
24,1052,190,2007,196.25,177,67.53246753
25,1077,180,2007,196.25,177,15.58441558
26,1124,185,2007,196.25,177,41.55844156
27,1130,191,2007,196.25,177,72.72727273
28,1139,178,2007,196.25,177,5.194805195
29,1081,195,2007,196.25,177,93.50649351
30,1086,183,2007,196.25,177,31.16883117
31,1093,185,2007,196.25,177,41.55844156
32,1081,186,2007,196.25,177,46.75324675
33,1163,195,2007,196.25,177,93.50649351
34,1113,177,2007,196.25,177,0
35,1124,193,2007,196.25,177,83.11688312
36,1077,192,2008,197,185,58.33333333
37,1160,185,2008,197,185,0
38,1121,194,2008,197,185,75
39,1118,191,2008,197,185,50
40,1124,192,2008,197,185,58.33333333
41,1165,192,2008,197,185,58.33333333
42,1156,195,2008,197,185,83.33333333
43,1151,185,2008,197,185,0
44,1090,187,2008,197,185,16.66666667
45,1066,197,2008,197,185,100
46,1092,186,2008,197,185,8.333333333
47,1088,195,2008,197,185,83.33333333
48,1137,187,2008,197,185,16.66666667
