Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1069,191,2007,196.25,177,72.72727273
2,1133,192,2007,196.25,177,77.92207792
3,1061,188,2007,196.25,177,57.14285714
4,1109,184,2007,196.25,177,36.36363636
5,1113,187,2007,196.25,177,51.94805195
6,1129,177,2007,196.25,177,0
7,1084,191,2007,196.25,177,72.72727273
8,1131,192,2007,196.25,177,77.92207792
9,1156,182,2007,196.25,177,25.97402597
10,1137,187,2007,196.25,177,51.94805195
11,1052,194,2007,196.25,177,88.31168831
12,1100,189,2007,196.25,177,62.33766234
13,1080,185,2007,196.25,177,41.55844156
14,1141,194,2007,196.25,177,88.31168831
15,1155,190,2007,196.25,177,67.53246753
16,1139,183,2007,196.25,177,31.16883117
17,1053,193,2007,196.25,177,83.11688312
18,1113,180,2007,196.25,177,15.58441558
19,1144,191,2007,196.25,177,72.72727273
20,1128,183,2007,196.25,177,31.16883117
21,1119,178,2007,196.25,177,5.194805195
22,1145,179,2007,196.25,177,10.38961039
23,1088,189,2007,196.25,177,62.33766234
24,1058,191,2007,196.25,177,72.72727273
25,1136,192,2007,196.25,177,77.92207792
26,1140,185,2007,196.25,177,41.55844156
27,1099,195,2007,196.25,177,93.50649351
28,1097,178,2007,196.25,177,5.194805195
29,1092,195,2007,196.25,177,93.50649351
30,1138,188,2007,196.25,177,57.14285714
31,1108,194,2007,196.25,177,88.31168831
32,1110,186,2007,196.25,177,46.75324675
33,1068,187,2007,196.25,177,51.94805195
34,1064,181,2007,196.25,177,20.77922078
35,1111,183,2007,196.25,177,31.16883117
36,1083,169,2008,197,169,0
37,1099,175,2008,197,169,21.42857143
38,1126,178,2008,197,169,32.14285714
39,1114,189,2008,197,169,71.42857143
40,1100,170,2008,197,169,3.571428571
41,1102,180,2008,197,169,39.28571429
42,1092,179,2008,197,169,35.71428571
43,1142,193,2008,197,169,85.71428571
44,1087,197,2008,197,169,100
45,1107,180,2008,197,169,39.28571429
46,1070,186,2008,197,169,60.71428571
47,1131,197,2008,197,169,100
48,1092,174,2008,197,169,17.85714286
49,1058,190,2008,197,169,75
50,1110,196,2008,197,169,96.42857143
51,1134,173,2008,197,169,14.28571429
52,1086,178,2008,197,169,32.14285714
53,1131,189,2008,197,169,71.42857143
54,1150,170,2008,197,169,3.571428571
55,1162,174,2008,197,169,17.85714286
56,1057,189,2008,197,169,71.42857143
57,1165,173,2008,197,169,14.28571429
58,1129,179,2008,197,169,35.71428571
59,1090,192,2008,197,169,82.14285714
60,1160,194,2008,197,169,89.28571429
61,1054,189,2008,197,169,71.42857143
62,1079,176,2008,197,169,25
63,1126,185,2008,197,169,57.14285714
64,1136,174,2008,197,169,17.85714286
65,1117,191,2008,197,169,78.57142857
66,1103,193,2008,197,169,85.71428571
67,1135,192,2008,197,169,82.14285714
68,1112,189,2008,197,169,71.42857143
69,1125,195,2008,197,169,92.85714286
70,1056,179,2008,197,169,35.71428571
71,1111,191,2009,196.75,176.5,71.60493827
72,1119,185,2009,196.75,176.5,41.97530864
73,1100,193,2009,196.75,176.5,81.48148148
74,1133,179,2009,196.75,176.5,12.34567901
75,1097,180,2009,196.75,176.5,17.28395062
76,1091,187,2009,196.75,176.5,51.85185185
77,1077,185,2009,196.75,176.5,41.97530864
78,1070,186,2009,196.75,176.5,46.91358025
79,1125,187,2009,196.75,176.5,51.85185185
80,1080,177,2009,196.75,176.5,2.469135802
81,1134,190,2009,196.75,176.5,66.66666667
82,1148,177,2009,196.75,176.5,2.469135802
83,1141,190,2009,196.75,176.5,66.66666667
84,1130,195,2009,196.75,176.5,91.35802469
85,1078,182,2009,196.75,176.5,27.16049383
86,1100,185,2009,196.75,176.5,41.97530864
87,1089,179,2009,196.75,176.5,12.34567901
88,1148,182,2009,196.75,176.5,27.16049383
89,1149,193,2009,196.75,176.5,81.48148148
90,1163,196,2009,196.75,176.5,96.2962963
91,1095,186,2009,196.75,176.5,46.91358025
92,1097,186,2009,196.75,176.5,46.91358025
93,1057,193,2009,196.75,176.5,81.48148148
94,1140,195,2009,196.75,176.5,91.35802469
95,1097,185,2009,196.75,176.5,41.97530864
96,1087,181,2009,196.75,176.5,22.22222222
97,1137,192,2009,196.75,176.5,76.54320988
98,1150,195,2009,196.75,176.5,91.35802469
99,1065,179,2009,196.75,176.5,12.34567901
100,1125,186,2009,196.75,176.5,46.91358025
101,1157,184,2009,196.75,176.5,37.03703704
102,1140,193,2009,196.75,176.5,81.48148148
103,1104,193,2009,196.75,176.5,81.48148148
104,1129,185,2009,196.75,176.5,41.97530864
105,1078,178,2009,196.75,176.5,7.407407407
106,1056,181,2010,196.75,180.5,3.076923077
107,1116,196,2010,196.75,180.5,95.38461538
108,1087,196,2010,196.75,180.5,95.38461538
109,1097,189,2010,196.75,180.5,52.30769231
110,1067,183,2010,196.75,180.5,15.38461538
111,1133,188,2010,196.75,180.5,46.15384615
112,1081,191,2010,196.75,180.5,64.61538462
113,1149,194,2010,196.75,180.5,83.07692308
114,1081,191,2010,196.75,180.5,64.61538462
115,1060,181,2010,196.75,180.5,3.076923077
116,1150,193,2010,196.75,180.5,76.92307692
117,1140,191,2010,196.75,180.5,64.61538462
118,1051,185,2010,196.75,180.5,27.69230769
119,1133,191,2010,196.75,180.5,64.61538462
120,1103,182,2010,196.75,180.5,9.230769231
121,1083,182,2010,196.75,180.5,9.230769231
122,1084,186,2010,196.75,180.5,33.84615385
123,1152,185,2010,196.75,180.5,27.69230769
124,1112,188,2010,196.75,180.5,46.15384615
125,1151,191,2010,196.75,180.5,64.61538462
126,1107,186,2010,196.75,180.5,33.84615385
127,1112,187,2010,196.75,180.5,40
128,1108,191,2010,196.75,180.5,64.61538462
129,1144,188,2010,196.75,180.5,46.15384615
130,1061,186,2010,196.75,180.5,33.84615385
131,1137,192,2010,196.75,180.5,70.76923077
132,1071,184,2010,196.75,180.5,21.53846154
133,1117,187,2010,196.75,180.5,40
134,1122,193,2010,196.75,180.5,76.92307692
135,1162,194,2010,196.75,180.5,83.07692308
136,1132,183,2010,196.75,180.5,15.38461538
137,1072,183,2010,196.75,180.5,15.38461538
138,1100,191,2010,196.75,180.5,64.61538462
139,1050,193,2010,196.75,180.5,76.92307692
140,1108,181,2010,196.75,180.5,3.076923077
141,1129,185,2011,197.25,177.25,38.75
142,1120,191,2011,197.25,177.25,68.75
143,1085,195,2011,197.25,177.25,88.75
144,1097,190,2011,197.25,177.25,63.75
145,1119,195,2011,197.25,177.25,88.75
146,1106,197,2011,197.25,177.25,98.75
147,1165,187,2011,197.25,177.25,48.75
148,1145,178,2011,197.25,177.25,3.75
149,1084,184,2011,197.25,177.25,33.75
150,1127,185,2011,197.25,177.25,38.75
151,1063,185,2011,197.25,177.25,38.75
152,1109,178,2011,197.25,177.25,3.75
153,1095,184,2011,197.25,177.25,33.75
154,1062,187,2011,197.25,177.25,48.75
155,1086,197,2011,197.25,177.25,98.75
156,1129,178,2011,197.25,177.25,3.75
157,1053,194,2011,197.25,177.25,83.75
158,1065,194,2011,197.25,177.25,83.75
159,1096,194,2011,197.25,177.25,83.75
160,1054,181,2011,197.25,177.25,18.75
161,1117,186,2011,197.25,177.25,43.75
162,1065,195,2011,197.25,177.25,88.75
163,1115,180,2011,197.25,177.25,13.75
164,1132,192,2011,197.25,177.25,73.75
165,1092,179,2011,197.25,177.25,8.75
166,1132,193,2011,197.25,177.25,78.75
167,1154,186,2011,197.25,177.25,43.75
168,1090,191,2011,197.25,177.25,68.75
169,1071,180,2011,197.25,177.25,13.75
170,1147,187,2011,197.25,177.25,48.75
171,1115,190,2011,197.25,177.25,63.75
172,1149,195,2011,197.25,177.25,88.75
173,1058,183,2011,197.25,177.25,28.75
174,1136,188,2011,197.25,177.25,53.75
175,1080,192,2011,197.25,177.25,73.75
176,1109,189,2012,196.25,182.25,48.21428571
177,1143,185,2012,196.25,182.25,19.64285714
178,1087,193,2012,196.25,182.25,76.78571429
179,1154,189,2012,196.25,182.25,48.21428571
180,1078,183,2012,196.25,182.25,5.357142857
181,1147,196,2012,196.25,182.25,98.21428571
182,1107,184,2012,196.25,182.25,12.5
183,1056,190,2012,196.25,182.25,55.35714286
184,1065,187,2012,196.25,182.25,33.92857143
185,1104,191,2012,196.25,182.25,62.5
186,1150,185,2012,196.25,182.25,19.64285714
187,1057,190,2012,196.25,182.25,55.35714286
188,1131,187,2012,196.25,182.25,33.92857143
