Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1119,190,2007,185.75,176.25,144.7368421
2,1138,188,2007,185.75,176.25,123.6842105
3,1056,182,2007,185.75,176.25,60.52631579
4,1130,177,2007,185.75,176.25,7.894736842
5,1158,177,2007,185.75,176.25,7.894736842
6,1159,185,2007,185.75,176.25,92.10526316
7,1047,180,2007,185.75,176.25,39.47368421
8,1089,180,2007,185.75,176.25,39.47368421
9,1072,183,2007,185.75,176.25,71.05263158
10,1120,182,2007,185.75,176.25,60.52631579
11,1058,181,2007,185.75,176.25,50
12,1106,179,2007,185.75,176.25,28.94736842
13,1089,178,2007,185.75,176.25,18.42105263
14,1150,181,2007,185.75,176.25,50
15,1128,179,2007,185.75,176.25,28.94736842
16,1085,180,2007,185.75,176.25,39.47368421
17,1048,178,2007,185.75,176.25,18.42105263
18,1156,181,2007,185.75,176.25,50
19,1062,180,2007,185.75,176.25,39.47368421
20,1150,178,2007,185.75,176.25,18.42105263
21,1073,185,2007,185.75,176.25,92.10526316
22,1132,183,2007,185.75,176.25,71.05263158
23,1114,180,2007,185.75,176.25,39.47368421
24,1134,183,2007,185.75,176.25,71.05263158
25,1048,178,2007,185.75,176.25,18.42105263
26,1075,180,2007,185.75,176.25,39.47368421
27,1059,183,2007,185.75,176.25,71.05263158
28,1160,178,2007,185.75,176.25,18.42105263
29,1094,182,2007,185.75,176.25,60.52631579
30,1119,181,2007,185.75,176.25,50
31,1091,189,2008,193.5,186.25,37.93103448
32,1071,193,2008,193.5,186.25,93.10344828
33,1061,187,2008,193.5,186.25,10.34482759
34,1127,188,2008,193.5,186.25,24.13793103
35,1101,187,2008,193.5,186.25,10.34482759
36,1082,192,2008,193.5,186.25,79.31034483
37,1086,187,2008,193.5,186.25,10.34482759
38,1106,188,2008,193.5,186.25,24.13793103
39,1071,190,2008,193.5,186.25,51.72413793
40,1089,192,2008,193.5,186.25,79.31034483
41,1101,192,2008,193.5,186.25,79.31034483
42,1054,193,2008,193.5,186.25,93.10344828
43,1095,193,2008,193.5,186.25,93.10344828
44,1157,190,2008,193.5,186.25,51.72413793
45,1146,187,2008,193.5,186.25,10.34482759
46,1063,193,2008,193.5,186.25,93.10344828
47,1161,193,2008,193.5,186.25,93.10344828
48,1165,191,2008,193.5,186.25,65.51724138
49,1058,188,2008,193.5,186.25,24.13793103
50,1108,189,2008,193.5,186.25,37.93103448
51,1139,192,2008,193.5,186.25,79.31034483
52,1061,189,2008,193.5,186.25,37.93103448
53,1050,192,2008,193.5,186.25,79.31034483
54,1108,189,2008,193.5,186.25,37.93103448
55,1128,191,2008,193.5,186.25,65.51724138
56,1097,190,2008,193.5,186.25,51.72413793
57,1067,192,2008,193.5,186.25,79.31034483
58,1099,193,2008,193.5,186.25,93.10344828
59,1075,187,2008,193.5,186.25,10.34482759
60,1145,189,2008,193.5,186.25,37.93103448
61,1119,193,2009,195,174.75,90.12345679
62,1128,190,2009,195,174.75,75.30864198
63,1110,176,2009,195,174.75,6.172839506
64,1069,178,2009,195,174.75,16.04938272
65,1074,190,2009,195,174.75,75.30864198
66,1086,179,2009,195,174.75,20.98765432
67,1096,184,2009,195,174.75,45.67901235
68,1107,184,2009,195,174.75,45.67901235
69,1095,191,2009,195,174.75,80.24691358
70,1088,193,2009,195,174.75,90.12345679
71,1091,195,2009,195,174.75,100
72,1078,179,2009,195,174.75,20.98765432
73,1089,194,2009,195,174.75,95.0617284
74,1117,188,2009,195,174.75,65.43209877
75,1152,189,2009,195,174.75,70.37037037
76,1056,183,2009,195,174.75,40.74074074
77,1161,193,2009,195,174.75,90.12345679
78,1131,192,2009,195,174.75,85.18518519
79,1051,186,2009,195,174.75,55.55555556
80,1129,191,2009,195,174.75,80.24691358
81,1158,179,2009,195,174.75,20.98765432
82,1129,185,2009,195,174.75,50.61728395
83,1089,178,2009,195,174.75,16.04938272
84,1161,179,2009,195,174.75,20.98765432
85,1158,189,2009,195,174.75,70.37037037
86,1142,187,2009,195,174.75,60.49382716
87,1054,178,2009,195,174.75,16.04938272
88,1124,177,2009,195,174.75,11.11111111
89,1050,192,2009,195,174.75,85.18518519
90,1161,184,2009,195,174.75,45.67901235
91,1104,186,2010,194.5,170.75,64.21052632
92,1125,186,2010,194.5,170.75,64.21052632
93,1104,176,2010,194.5,170.75,22.10526316
94,1116,173,2010,194.5,170.75,9.473684211
95,1152,182,2010,194.5,170.75,47.36842105
96,1057,194,2010,194.5,170.75,97.89473684
97,1147,194,2010,194.5,170.75,97.89473684
98,1091,189,2010,194.5,170.75,76.84210526
99,1143,189,2010,194.5,170.75,76.84210526
100,1112,182,2010,194.5,170.75,47.36842105
101,1073,174,2010,194.5,170.75,13.68421053
102,1093,180,2010,194.5,170.75,38.94736842
103,1073,187,2010,194.5,170.75,68.42105263
104,1056,192,2010,194.5,170.75,89.47368421
105,1065,180,2010,194.5,170.75,38.94736842
106,1149,191,2010,194.5,170.75,85.26315789
107,1046,184,2010,194.5,170.75,55.78947368
108,1119,182,2010,194.5,170.75,47.36842105
109,1082,194,2010,194.5,170.75,97.89473684
110,1121,185,2010,194.5,170.75,60
111,1090,184,2010,194.5,170.75,55.78947368
112,1087,175,2010,194.5,170.75,17.89473684
113,1107,175,2010,194.5,170.75,17.89473684
114,1116,173,2010,194.5,170.75,9.473684211
115,1066,180,2010,194.5,170.75,38.94736842
116,1129,187,2010,194.5,170.75,68.42105263
117,1067,187,2010,194.5,170.75,68.42105263
118,1127,190,2010,194.5,170.75,81.05263158
119,1048,194,2010,194.5,170.75,97.89473684
120,1045,177,2010,194.5,170.75,26.31578947
121,1053,175,2011,196,172.5,10.63829787
122,1105,175,2011,196,172.5,10.63829787
123,1129,189,2011,196,172.5,70.21276596
124,1084,183,2011,196,172.5,44.68085106
125,1070,192,2011,196,172.5,82.9787234
126,1110,184,2011,196,172.5,48.93617021
127,1096,182,2011,196,172.5,40.42553191
128,1096,187,2011,196,172.5,61.70212766
129,1080,192,2011,196,172.5,82.9787234
130,1084,185,2011,196,172.5,53.19148936
131,1056,187,2011,196,172.5,61.70212766
132,1150,175,2011,196,172.5,10.63829787
133,1145,174,2011,196,172.5,6.382978723
134,1106,180,2011,196,172.5,31.91489362
135,1067,183,2011,196,172.5,44.68085106
136,1159,176,2011,196,172.5,14.89361702
137,1112,188,2011,196,172.5,65.95744681
138,1085,193,2011,196,172.5,87.23404255
139,1075,175,2011,196,172.5,10.63829787
140,1142,181,2011,196,172.5,36.17021277
141,1067,194,2011,196,172.5,91.4893617
142,1144,174,2011,196,172.5,6.382978723
143,1081,177,2011,196,172.5,19.14893617
144,1116,188,2011,196,172.5,65.95744681
145,1069,177,2011,196,172.5,19.14893617
146,1110,182,2011,196,172.5,40.42553191
147,1141,178,2011,196,172.5,23.40425532
148,1068,193,2011,196,172.5,87.23404255
149,1102,187,2011,196,172.5,61.70212766
150,1110,185,2011,196,172.5,53.19148936
151,1049,195,2011,196,172.5,95.74468085
152,1148,192,2011,196,172.5,82.9787234
153,1097,195,2011,196,172.5,95.74468085
154,1149,191,2011,196,172.5,78.72340426
155,1071,175,2011,196,172.5,10.63829787
156,1058,183,2011,196,172.5,44.68085106
157,1161,189,2011,196,172.5,70.21276596
158,1055,180,2011,196,172.5,31.91489362
159,1128,178,2011,196,172.5,23.40425532
160,1165,177,2011,196,172.5,19.14893617
161,1082,189,2012,194.75,176.5,68.49315068
