Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1141,190,2007,193.75,169.75,84.375
2,1120,170,2007,193.75,169.75,1.041666667
3,1131,184,2007,193.75,169.75,59.375
4,1142,180,2007,193.75,169.75,42.70833333
5,1120,182,2007,193.75,169.75,51.04166667
6,1098,187,2007,193.75,169.75,71.875
7,1104,193,2007,193.75,169.75,96.875
8,1163,176,2007,193.75,169.75,26.04166667
9,1076,180,2007,193.75,169.75,42.70833333
10,1118,181,2007,193.75,169.75,46.875
11,1115,189,2007,193.75,169.75,80.20833333
12,1112,183,2007,193.75,169.75,55.20833333
13,1101,176,2007,193.75,169.75,26.04166667
14,1098,189,2007,193.75,169.75,80.20833333
15,1126,180,2007,193.75,169.75,42.70833333
16,1149,186,2007,193.75,169.75,67.70833333
17,1081,186,2007,193.75,169.75,67.70833333
18,1152,179,2007,193.75,169.75,38.54166667
19,1066,182,2007,193.75,169.75,51.04166667
20,1051,181,2007,193.75,169.75,46.875
21,1054,170,2007,193.75,169.75,1.041666667
22,1104,174,2007,193.75,169.75,17.70833333
23,1134,191,2007,193.75,169.75,88.54166667
24,1066,190,2007,193.75,169.75,84.375
25,1105,191,2007,193.75,169.75,88.54166667
26,1145,173,2007,193.75,169.75,13.54166667
27,1149,190,2007,193.75,169.75,84.375
28,1049,172,2007,193.75,169.75,9.375
29,1129,192,2007,193.75,169.75,92.70833333
30,1104,174,2007,193.75,169.75,17.70833333
31,1133,181,2007,193.75,169.75,46.875
32,1096,171,2007,193.75,169.75,5.208333333
33,1118,172,2007,193.75,169.75,9.375
34,1064,179,2007,193.75,169.75,38.54166667
35,1134,171,2007,193.75,169.75,5.208333333
36,1156,174,2007,193.75,169.75,17.70833333
37,1046,175,2007,193.75,169.75,21.875
38,1121,179,2007,193.75,169.75,38.54166667
39,1048,172,2007,193.75,169.75,9.375
40,1045,188,2007,193.75,169.75,76.04166667
41,1112,193,2008,196,175.25,85.54216867
42,1046,178,2008,196,175.25,13.25301205
43,1047,179,2008,196,175.25,18.07228916
44,1128,176,2008,196,175.25,3.614457831
45,1082,179,2008,196,175.25,18.07228916
46,1067,193,2008,196,175.25,85.54216867
47,1142,186,2008,196,175.25,51.80722892
48,1114,181,2008,196,175.25,27.71084337
49,1106,176,2008,196,175.25,3.614457831
50,1048,194,2008,196,175.25,90.36144578
51,1091,195,2008,196,175.25,95.18072289
52,1149,191,2008,196,175.25,75.90361446
53,1120,188,2008,196,175.25,61.44578313
54,1110,194,2008,196,175.25,90.36144578
55,1072,180,2008,196,175.25,22.89156627
56,1144,183,2008,196,175.25,37.34939759
57,1098,179,2008,196,175.25,18.07228916
58,1146,180,2008,196,175.25,22.89156627
59,1156,183,2008,196,175.25,37.34939759
60,1081,195,2008,196,175.25,95.18072289
61,1105,196,2008,196,175.25,100
62,1144,196,2008,196,175.25,100
63,1120,179,2008,196,175.25,18.07228916
64,1122,189,2008,196,175.25,66.26506024
65,1142,194,2008,196,175.25,90.36144578
66,1045,178,2008,196,175.25,13.25301205
67,1111,187,2008,196,175.25,56.62650602
68,1149,185,2008,196,175.25,46.98795181
69,1107,191,2008,196,175.25,75.90361446
70,1063,193,2008,196,175.25,85.54216867
71,1117,195,2008,196,175.25,95.18072289
72,1082,178,2008,196,175.25,13.25301205
73,1061,192,2008,196,175.25,80.72289157
74,1084,186,2008,196,175.25,51.80722892
75,1081,182,2008,196,175.25,32.53012048
76,1094,187,2008,196,175.25,56.62650602
77,1120,195,2008,196,175.25,95.18072289
78,1141,196,2008,196,175.25,100
79,1110,179,2008,196,175.25,18.07228916
80,1090,186,2008,196,175.25,51.80722892
81,1088,186,2008,196,175.25,51.80722892
82,1147,180,2009,196.25,177.25,14.47368421
83,1120,183,2009,196.25,177.25,30.26315789
84,1058,190,2009,196.25,177.25,67.10526316
85,1081,195,2009,196.25,177.25,93.42105263
86,1101,189,2009,196.25,177.25,61.84210526
87,1049,179,2009,196.25,177.25,9.210526316
88,1072,180,2009,196.25,177.25,14.47368421
89,1059,196,2009,196.25,177.25,98.68421053
90,1097,187,2009,196.25,177.25,51.31578947
91,1050,184,2009,196.25,177.25,35.52631579
92,1099,178,2009,196.25,177.25,3.947368421
93,1142,180,2009,196.25,177.25,14.47368421
94,1098,184,2009,196.25,177.25,35.52631579
95,1131,195,2009,196.25,177.25,93.42105263
96,1087,182,2009,196.25,177.25,25
97,1067,184,2009,196.25,177.25,35.52631579
98,1165,184,2009,196.25,177.25,35.52631579
99,1071,195,2009,196.25,177.25,93.42105263
100,1140,192,2009,196.25,177.25,77.63157895
101,1146,180,2009,196.25,177.25,14.47368421
102,1109,184,2009,196.25,177.25,35.52631579
103,1132,180,2009,196.25,177.25,14.47368421
104,1048,190,2009,196.25,177.25,67.10526316
105,1100,189,2009,196.25,177.25,61.84210526
106,1059,189,2009,196.25,177.25,61.84210526
107,1130,196,2009,196.25,177.25,98.68421053
108,1057,185,2009,196.25,177.25,40.78947368
109,1102,196,2009,196.25,177.25,98.68421053
110,1148,181,2009,196.25,177.25,19.73684211
111,1067,185,2009,196.25,177.25,40.78947368
112,1095,178,2009,196.25,177.25,3.947368421
113,1082,182,2009,196.25,177.25,25
114,1163,189,2009,196.25,177.25,61.84210526
115,1073,181,2009,196.25,177.25,19.73684211
116,1051,190,2009,196.25,177.25,67.10526316
117,1145,181,2009,196.25,177.25,19.73684211
118,1155,187,2009,196.25,177.25,51.31578947
119,1103,185,2009,196.25,177.25,40.78947368
120,1158,182,2009,196.25,177.25,25
121,1076,188,2009,196.25,177.25,56.57894737
122,1055,178,2009,196.25,177.25,3.947368421
123,1133,188,2010,196,176,60
124,1152,193,2010,196,176,85
125,1160,179,2010,196,176,15
126,1052,180,2010,196,176,20
127,1165,188,2010,196,176,60
128,1107,185,2010,196,176,45
129,1105,180,2010,196,176,20
130,1087,181,2010,196,176,25
131,1129,182,2010,196,176,30
132,1160,185,2010,196,176,45
133,1152,195,2010,196,176,95
134,1132,189,2010,196,176,65
135,1072,182,2010,196,176,30
136,1081,191,2010,196,176,75
137,1095,177,2010,196,176,5
138,1142,195,2010,196,176,95
139,1156,191,2010,196,176,75
140,1056,182,2010,196,176,30
141,1108,194,2010,196,176,90
142,1054,191,2010,196,176,75
143,1149,193,2010,196,176,85
144,1124,177,2010,196,176,5
145,1108,177,2010,196,176,5
146,1125,182,2010,196,176,30
147,1160,196,2010,196,176,100
148,1139,180,2010,196,176,20
149,1052,194,2010,196,176,90
150,1084,177,2010,196,176,5
151,1130,195,2010,196,176,95
152,1110,186,2010,196,176,50
153,1077,193,2010,196,176,85
154,1080,186,2010,196,176,50
155,1086,187,2010,196,176,55
156,1085,195,2010,196,176,95
157,1157,188,2010,196,176,60
158,1068,191,2010,196,176,75
159,1147,184,2010,196,176,40
160,1075,194,2010,196,176,90
161,1085,181,2010,196,176,25
162,1072,184,2010,196,176,40
163,1101,179,2010,196,176,15
164,1133,195,2011,196.75,181.75,88.33333333
165,1054,193,2011,196.75,181.75,75
166,1092,187,2011,196.75,181.75,35
167,1056,196,2011,196.75,181.75,95
168,1109,189,2011,196.75,181.75,48.33333333
169,1140,195,2011,196.75,181.75,88.33333333
170,1161,185,2011,196.75,181.75,21.66666667
171,1079,184,2011,196.75,181.75,15
172,1077,187,2011,196.75,181.75,35
173,1085,182,2011,196.75,181.75,1.666666667
174,1121,187,2011,196.75,181.75,35
175,1074,189,2011,196.75,181.75,48.33333333
176,1138,194,2011,196.75,181.75,81.66666667
177,1103,192,2011,196.75,181.75,68.33333333
178,1107,191,2011,196.75,181.75,61.66666667
179,1052,182,2011,196.75,181.75,1.666666667
180,1069,183,2011,196.75,181.75,8.333333333
181,1049,185,2011,196.75,181.75,21.66666667
182,1151,193,2011,196.75,181.75,75
183,1133,191,2011,196.75,181.75,61.66666667
184,1060,187,2011,196.75,181.75,35
185,1083,187,2011,196.75,181.75,35
186,1051,186,2011,196.75,181.75,28.33333333
187,1076,189,2011,196.75,181.75,48.33333333
188,1146,186,2011,196.75,181.75,28.33333333
189,1057,195,2011,196.75,181.75,88.33333333
190,1048,185,2011,196.75,181.75,21.66666667
191,1104,194,2011,196.75,181.75,81.66666667
192,1110,190,2011,196.75,181.75,55
193,1108,188,2011,196.75,181.75,41.66666667
194,1158,191,2011,196.75,181.75,61.66666667
195,1075,187,2011,196.75,181.75,35
196,1102,188,2011,196.75,181.75,41.66666667
197,1086,184,2011,196.75,181.75,15
198,1095,193,2011,196.75,181.75,75
199,1054,188,2011,196.75,181.75,41.66666667
200,1083,183,2011,196.75,181.75,8.333333333
201,1161,194,2011,196.75,181.75,81.66666667
202,1132,188,2011,196.75,181.75,41.66666667
203,1103,190,2011,196.75,181.75,55
204,1079,189,2011,196.75,181.75,48.33333333
205,1059,186,2012,196.25,181.25,31.66666667
206,1074,196,2012,196.25,181.25,98.33333333
207,1111,182,2012,196.25,181.25,5
208,1084,194,2012,196.25,181.25,85
209,1094,186,2012,196.25,181.25,31.66666667
210,1140,183,2012,196.25,181.25,11.66666667
211,1070,192,2012,196.25,181.25,71.66666667
212,1100,195,2012,196.25,181.25,91.66666667
213,1093,191,2012,196.25,181.25,65
214,1142,191,2012,196.25,181.25,65
215,1159,185,2012,196.25,181.25,25
216,1152,190,2012,196.25,181.25,58.33333333
217,1099,189,2012,196.25,181.25,51.66666667
218,1053,196,2012,196.25,181.25,98.33333333
219,1161,193,2012,196.25,181.25,78.33333333
220,1123,185,2012,196.25,181.25,25
221,1110,183,2012,196.25,181.25,11.66666667
222,1078,193,2012,196.25,181.25,78.33333333
223,1076,193,2012,196.25,181.25,78.33333333
224,1133,183,2012,196.25,181.25,11.66666667
225,1104,188,2012,196.25,181.25,45
226,1076,182,2012,196.25,181.25,5
227,1097,188,2012,196.25,181.25,45
228,1057,192,2012,196.25,181.25,71.66666667
229,1129,195,2012,196.25,181.25,91.66666667
230,1050,190,2012,196.25,181.25,58.33333333
231,1049,182,2012,196.25,181.25,5
232,1106,195,2012,196.25,181.25,91.66666667
233,1075,193,2012,196.25,181.25,78.33333333
234,1089,192,2012,196.25,181.25,71.66666667
235,1162,194,2012,196.25,181.25,85
236,1159,182,2012,196.25,181.25,5
237,1164,193,2012,196.25,181.25,78.33333333
238,1093,193,2012,196.25,181.25,78.33333333
