Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1049,194,2007,192.25,167.5,107.0707071
2,1132,173,2007,192.25,167.5,22.22222222
3,1116,169,2007,192.25,167.5,6.060606061
4,1047,180,2007,192.25,167.5,50.50505051
5,1070,190,2007,192.25,167.5,90.90909091
6,1147,172,2007,192.25,167.5,18.18181818
7,1065,189,2007,192.25,167.5,86.86868687
8,1093,180,2007,192.25,167.5,50.50505051
9,1093,183,2007,192.25,167.5,62.62626263
10,1087,180,2007,192.25,167.5,50.50505051
11,1073,183,2007,192.25,167.5,62.62626263
12,1114,169,2007,192.25,167.5,6.060606061
13,1098,186,2007,192.25,167.5,74.74747475
14,1127,178,2007,192.25,167.5,42.42424242
15,1091,174,2007,192.25,167.5,26.26262626
16,1076,189,2007,192.25,167.5,86.86868687
17,1146,176,2007,192.25,167.5,34.34343434
18,1060,187,2007,192.25,167.5,78.78787879
19,1119,182,2007,192.25,167.5,58.58585859
20,1148,174,2007,192.25,167.5,26.26262626
21,1108,190,2007,192.25,167.5,90.90909091
22,1056,185,2007,192.25,167.5,70.70707071
23,1102,168,2007,192.25,167.5,2.02020202
24,1097,178,2007,192.25,167.5,42.42424242
25,1165,187,2007,192.25,167.5,78.78787879
26,1089,180,2007,192.25,167.5,50.50505051
27,1118,185,2007,192.25,167.5,70.70707071
28,1065,175,2007,192.25,167.5,30.3030303
29,1111,180,2007,192.25,167.5,50.50505051
30,1087,179,2007,192.25,167.5,46.46464646
31,1045,179,2008,195.75,177.25,9.459459459
32,1114,185,2008,195.75,177.25,41.89189189
33,1121,189,2008,195.75,177.25,63.51351351
34,1062,188,2008,195.75,177.25,58.10810811
35,1137,184,2008,195.75,177.25,36.48648649
36,1048,179,2008,195.75,177.25,9.459459459
37,1147,184,2008,195.75,177.25,36.48648649
38,1150,184,2008,195.75,177.25,36.48648649
39,1160,184,2008,195.75,177.25,36.48648649
40,1058,181,2008,195.75,177.25,20.27027027
41,1088,191,2008,195.75,177.25,74.32432432
42,1073,191,2008,195.75,177.25,74.32432432
43,1110,190,2008,195.75,177.25,68.91891892
44,1060,189,2008,195.75,177.25,63.51351351
45,1125,186,2008,195.75,177.25,47.2972973
46,1103,183,2008,195.75,177.25,31.08108108
47,1088,185,2008,195.75,177.25,41.89189189
48,1085,195,2008,195.75,177.25,95.94594595
49,1053,178,2008,195.75,177.25,4.054054054
50,1140,188,2008,195.75,177.25,58.10810811
51,1093,179,2008,195.75,177.25,9.459459459
52,1162,191,2008,195.75,177.25,74.32432432
53,1115,179,2008,195.75,177.25,9.459459459
54,1128,188,2008,195.75,177.25,58.10810811
55,1091,195,2008,195.75,177.25,95.94594595
56,1126,191,2008,195.75,177.25,74.32432432
57,1135,192,2008,195.75,177.25,79.72972973
58,1090,189,2008,195.75,177.25,63.51351351
59,1073,188,2008,195.75,177.25,58.10810811
60,1102,190,2008,195.75,177.25,68.91891892
61,1049,188,2009,196.25,181,45.90163934
62,1114,190,2009,196.25,181,59.01639344
63,1072,188,2009,196.25,181,45.90163934
64,1055,196,2009,196.25,181,98.36065574
65,1067,184,2009,196.25,181,19.67213115
66,1072,194,2009,196.25,181,85.24590164
67,1098,196,2009,196.25,181,98.36065574
68,1095,190,2009,196.25,181,59.01639344
69,1142,195,2009,196.25,181,91.80327869
70,1068,189,2009,196.25,181,52.45901639
71,1162,195,2009,196.25,181,91.80327869
72,1075,184,2009,196.25,181,19.67213115
73,1145,188,2009,196.25,181,45.90163934
74,1055,183,2009,196.25,181,13.1147541
75,1082,193,2009,196.25,181,78.68852459
76,1099,182,2009,196.25,181,6.557377049
77,1101,181,2009,196.25,181,0
78,1052,194,2009,196.25,181,85.24590164
79,1097,193,2009,196.25,181,78.68852459
80,1135,191,2009,196.25,181,65.57377049
81,1117,183,2009,196.25,181,13.1147541
82,1073,187,2009,196.25,181,39.3442623
83,1064,182,2009,196.25,181,6.557377049
84,1053,193,2009,196.25,181,78.68852459
85,1104,181,2009,196.25,181,0
86,1049,185,2009,196.25,181,26.2295082
87,1114,182,2009,196.25,181,6.557377049
88,1130,194,2009,196.25,181,85.24590164
89,1141,184,2009,196.25,181,19.67213115
90,1151,187,2009,196.25,181,39.3442623
91,1139,188,2010,196,178,55.55555556
92,1069,190,2010,196,178,66.66666667
93,1117,192,2010,196,178,77.77777778
94,1063,189,2010,196,178,61.11111111
95,1120,183,2010,196,178,27.77777778
96,1161,183,2010,196,178,27.77777778
97,1061,190,2010,196,178,66.66666667
98,1121,185,2010,196,178,38.88888889
99,1149,178,2010,196,178,0
100,1120,194,2010,196,178,88.88888889
101,1100,187,2010,196,178,50
102,1073,184,2010,196,178,33.33333333
103,1156,192,2010,196,178,77.77777778
104,1051,183,2010,196,178,27.77777778
105,1080,183,2010,196,178,27.77777778
106,1104,193,2010,196,178,83.33333333
107,1143,192,2010,196,178,77.77777778
108,1092,196,2010,196,178,100
109,1053,189,2010,196,178,61.11111111
110,1155,188,2010,196,178,55.55555556
111,1132,189,2010,196,178,61.11111111
112,1152,195,2010,196,178,94.44444444
113,1082,185,2010,196,178,38.88888889
114,1122,178,2010,196,178,0
115,1095,180,2010,196,178,11.11111111
116,1126,183,2010,196,178,27.77777778
117,1089,186,2010,196,178,44.44444444
118,1147,178,2010,196,178,0
119,1123,181,2010,196,178,16.66666667
120,1156,181,2010,196,178,16.66666667
121,1115,179,2011,197,179.25,0
122,1116,183,2011,197,179.25,21.12676056
123,1095,196,2011,197,179.25,94.36619718
124,1076,195,2011,197,179.25,88.73239437
125,1165,183,2011,197,179.25,21.12676056
126,1050,186,2011,197,179.25,38.02816901
127,1076,193,2011,197,179.25,77.46478873
128,1094,187,2011,197,179.25,43.66197183
129,1109,190,2011,197,179.25,60.56338028
130,1076,186,2011,197,179.25,38.02816901
131,1164,188,2011,197,179.25,49.29577465
132,1122,196,2011,197,179.25,94.36619718
133,1065,180,2011,197,179.25,4.225352113
134,1089,196,2011,197,179.25,94.36619718
135,1110,193,2011,197,179.25,77.46478873
136,1092,191,2011,197,179.25,66.1971831
137,1047,196,2011,197,179.25,94.36619718
138,1051,187,2011,197,179.25,43.66197183
139,1085,192,2011,197,179.25,71.83098592
140,1070,189,2011,197,179.25,54.92957746
141,1139,195,2011,197,179.25,88.73239437
142,1097,181,2011,197,179.25,9.85915493
143,1069,187,2011,197,179.25,43.66197183
144,1127,194,2011,197,179.25,83.09859155
145,1097,192,2011,197,179.25,71.83098592
146,1125,189,2011,197,179.25,54.92957746
147,1144,185,2011,197,179.25,32.3943662
148,1135,183,2011,197,179.25,21.12676056
149,1046,185,2011,197,179.25,32.3943662
150,1163,191,2011,197,179.25,66.1971831
151,1112,190,2012,196.25,180.75,59.67741935
152,1138,183,2012,196.25,180.75,14.51612903
153,1123,193,2012,196.25,180.75,79.03225806
154,1062,185,2012,196.25,180.75,27.41935484
155,1157,186,2012,196.25,180.75,33.87096774
156,1144,183,2012,196.25,180.75,14.51612903
157,1131,194,2012,196.25,180.75,85.48387097
158,1107,192,2012,196.25,180.75,72.58064516
159,1092,192,2012,196.25,180.75,72.58064516
160,1070,190,2012,196.25,180.75,59.67741935
161,1075,192,2012,196.25,180.75,72.58064516
162,1124,188,2012,196.25,180.75,46.77419355
163,1068,182,2012,196.25,180.75,8.064516129
164,1058,189,2012,196.25,180.75,53.22580645
165,1105,189,2012,196.25,180.75,53.22580645
166,1052,186,2012,196.25,180.75,33.87096774
167,1083,196,2012,196.25,180.75,98.38709677
168,1076,187,2012,196.25,180.75,40.32258065
169,1157,194,2012,196.25,180.75,85.48387097
170,1087,184,2012,196.25,180.75,20.96774194
171,1149,185,2012,196.25,180.75,27.41935484
172,1145,189,2012,196.25,180.75,53.22580645
173,1114,194,2012,196.25,180.75,85.48387097
174,1114,193,2012,196.25,180.75,79.03225806
175,1060,195,2012,196.25,180.75,91.93548387
176,1138,195,2012,196.25,180.75,91.93548387
177,1105,182,2012,196.25,180.75,8.064516129
178,1052,182,2012,196.25,180.75,8.064516129
179,1137,184,2012,196.25,180.75,20.96774194
180,1091,187,2012,196.25,180.75,40.32258065
181,1076,194,2013,196.5,181,83.87096774
182,1159,181,2013,196.5,181,0
183,1146,182,2013,196.5,181,6.451612903
184,1120,189,2013,196.5,181,51.61290323
185,1045,193,2013,196.5,181,77.41935484
186,1057,185,2013,196.5,181,25.80645161
187,1080,192,2013,196.5,181,70.96774194
188,1101,189,2013,196.5,181,51.61290323
189,1065,188,2013,196.5,181,45.16129032
190,1107,191,2013,196.5,181,64.51612903
191,1159,192,2013,196.5,181,70.96774194
192,1150,183,2013,196.5,181,12.90322581
193,1165,186,2013,196.5,181,32.25806452
194,1062,193,2013,196.5,181,77.41935484
195,1071,196,2013,196.5,181,96.77419355
196,1138,183,2013,196.5,181,12.90322581
197,1097,189,2013,196.5,181,51.61290323
198,1119,182,2013,196.5,181,6.451612903
199,1134,182,2013,196.5,181,6.451612903
200,1153,194,2013,196.5,181,83.87096774
201,1071,182,2013,196.5,181,6.451612903
202,1160,186,2013,196.5,181,32.25806452
203,1137,196,2013,196.5,181,96.77419355
204,1104,194,2013,196.5,181,83.87096774
205,1067,181,2013,196.5,181,0
206,1128,187,2013,196.5,181,38.70967742
207,1146,183,2013,196.5,181,12.90322581
208,1162,194,2013,196.5,181,83.87096774
209,1095,187,2013,196.5,181,38.70967742
210,1094,189,2013,196.5,181,51.61290323
211,1159,181,2014,197.5,182,0
212,1112,181,2014,197.5,182,0
213,1136,196,2014,197.5,182,90.32258065
214,1153,187,2014,197.5,182,32.25806452
215,1152,184,2014,197.5,182,12.90322581
216,1073,187,2014,197.5,182,32.25806452
217,1124,189,2014,197.5,182,45.16129032
218,1157,182,2014,197.5,182,0
219,1114,195,2014,197.5,182,83.87096774
220,1045,182,2014,197.5,182,0
221,1156,197,2014,197.5,182,96.77419355
222,1103,190,2014,197.5,182,51.61290323
223,1063,197,2014,197.5,182,96.77419355
224,1111,187,2014,197.5,182,32.25806452
225,1165,197,2014,197.5,182,96.77419355
226,1073,193,2014,197.5,182,70.96774194
227,1114,192,2014,197.5,182,64.51612903
228,1046,189,2014,197.5,182,45.16129032
229,1061,193,2014,197.5,182,70.96774194
230,1153,193,2014,197.5,182,70.96774194
231,1109,186,2014,197.5,182,25.80645161
232,1092,187,2014,197.5,182,32.25806452
233,1062,191,2014,197.5,182,58.06451613
234,1061,190,2014,197.5,182,51.61290323
235,1100,192,2014,197.5,182,64.51612903
236,1078,187,2014,197.5,182,32.25806452
237,1071,185,2014,197.5,182,19.35483871
238,1164,195,2014,197.5,182,83.87096774
239,1061,197,2014,197.5,182,96.77419355
240,1111,191,2014,197.5,182,58.06451613
241,1093,191,2015,196.75,187.5,37.83783784
242,1124,183,2015,196.75,187.5,0
243,1160,188,2015,196.75,187.5,5.405405405
244,1081,188,2015,196.75,187.5,5.405405405
245,1096,195,2015,196.75,187.5,81.08108108
246,1088,192,2015,196.75,187.5,48.64864865
247,1056,188,2015,196.75,187.5,5.405405405
248,1102,188,2015,196.75,187.5,5.405405405
249,1052,196,2015,196.75,187.5,91.89189189
250,1091,190,2015,196.75,187.5,27.02702703
251,1066,192,2015,196.75,187.5,48.64864865
252,1098,189,2015,196.75,187.5,16.21621622
