Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1161,181,2007,194.25,172.75,38.37209302
2,1067,183,2007,194.25,172.75,47.6744186
3,1154,190,2007,194.25,172.75,80.23255814
4,1007,188,2007,194.25,172.75,70.93023256
5,1111,177,2007,194.25,172.75,19.76744186
6,1168,178,2007,194.25,172.75,24.41860465
7,1033,194,2007,194.25,172.75,98.8372093
8,1031,194,2007,194.25,172.75,98.8372093
9,1069,190,2007,194.25,172.75,80.23255814
10,1145,189,2007,194.25,172.75,75.58139535
11,1002,186,2007,194.25,172.75,61.62790698
12,1069,190,2007,194.25,172.75,80.23255814
13,1061,191,2007,194.25,172.75,84.88372093
14,1018,194,2007,194.25,172.75,98.8372093
15,1172,174,2007,194.25,172.75,5.813953488
16,1053,174,2007,194.25,172.75,5.813953488
17,1169,187,2007,194.25,172.75,66.27906977
18,1055,176,2007,194.25,172.75,15.11627907
19,1116,186,2007,194.25,172.75,61.62790698
20,1004,184,2007,194.25,172.75,52.3255814
21,1034,191,2007,194.25,172.75,84.88372093
22,1043,176,2007,194.25,172.75,15.11627907
23,1011,174,2007,194.25,172.75,5.813953488
24,1046,183,2007,194.25,172.75,47.6744186
25,1151,176,2007,194.25,172.75,15.11627907
26,1029,174,2007,194.25,172.75,5.813953488
27,1030,188,2007,194.25,172.75,70.93023256
28,1111,191,2007,194.25,172.75,84.88372093
29,1009,180,2007,194.25,172.75,33.72093023
30,1021,177,2007,194.25,172.75,19.76744186
31,1086,192,2007,194.25,172.75,89.53488372
32,1144,186,2007,194.25,172.75,61.62790698
33,1132,189,2007,194.25,172.75,75.58139535
34,1103,175,2007,194.25,172.75,10.46511628
35,1009,188,2007,194.25,172.75,70.93023256
36,1029,183,2007,194.25,172.75,47.6744186
37,1130,177,2007,194.25,172.75,19.76744186
38,1060,187,2007,194.25,172.75,66.27906977
39,1022,188,2007,194.25,172.75,70.93023256
40,1061,182,2007,194.25,172.75,43.02325581
41,1151,188,2008,197,185.25,23.40425532
42,1148,191,2008,197,185.25,48.93617021
43,1145,193,2008,197,185.25,65.95744681
44,1135,190,2008,197,185.25,40.42553191
45,1030,192,2008,197,185.25,57.44680851
46,1138,189,2008,197,185.25,31.91489362
47,1088,197,2008,197,185.25,100
48,1061,189,2008,197,185.25,31.91489362
49,1152,188,2008,197,185.25,23.40425532
50,1169,194,2008,197,185.25,74.46808511
51,1070,191,2008,197,185.25,48.93617021
52,1154,191,2008,197,185.25,48.93617021
53,1067,188,2008,197,185.25,23.40425532
54,1076,188,2008,197,185.25,23.40425532
55,1040,188,2008,197,185.25,23.40425532
56,1145,188,2008,197,185.25,23.40425532
57,1025,195,2008,197,185.25,82.9787234
58,1038,190,2008,197,185.25,40.42553191
59,1069,186,2008,197,185.25,6.382978723
60,1077,187,2008,197,185.25,14.89361702
61,1079,186,2008,197,185.25,6.382978723
62,1003,188,2008,197,185.25,23.40425532
63,1165,186,2008,197,185.25,6.382978723
64,1012,186,2008,197,185.25,6.382978723
65,1169,192,2008,197,185.25,57.44680851
66,1004,186,2008,197,185.25,6.382978723
67,1022,197,2008,197,185.25,100
68,1004,190,2008,197,185.25,40.42553191
69,1108,188,2008,197,185.25,23.40425532
70,1029,186,2008,197,185.25,6.382978723
71,1162,189,2008,197,185.25,31.91489362
72,1012,188,2008,197,185.25,23.40425532
73,1034,187,2008,197,185.25,14.89361702
74,1094,196,2008,197,185.25,91.4893617
75,1017,197,2008,197,185.25,100
76,1080,197,2008,197,185.25,100
77,1152,192,2008,197,185.25,57.44680851
78,1065,188,2008,197,185.25,23.40425532
79,1155,193,2008,197,185.25,65.95744681
80,1109,191,2008,197,185.25,48.93617021
81,1123,186,2009,198,181,29.41176471
82,1112,187,2009,198,181,35.29411765
83,1044,191,2009,198,181,58.82352941
84,1133,188,2009,198,181,41.17647059
85,1175,182,2009,198,181,5.882352941
86,1127,194,2009,198,181,76.47058824
87,1099,190,2009,198,181,52.94117647
88,1085,188,2009,198,181,41.17647059
89,1019,187,2009,198,181,35.29411765
90,1121,190,2009,198,181,52.94117647
91,1138,198,2009,198,181,100
92,1075,183,2009,198,181,11.76470588
93,1072,181,2009,198,181,0
94,1040,197,2009,198,181,94.11764706
95,1160,193,2009,198,181,70.58823529
96,1109,192,2009,198,181,64.70588235
97,1036,190,2009,198,181,52.94117647
98,1137,192,2009,198,181,64.70588235
99,1150,182,2009,198,181,5.882352941
100,1112,185,2009,198,181,23.52941176
101,1127,191,2009,198,181,58.82352941
102,1090,196,2009,198,181,88.23529412
103,1114,184,2009,198,181,17.64705882
104,1119,196,2009,198,181,88.23529412
105,1121,185,2009,198,181,23.52941176
106,1065,184,2009,198,181,17.64705882
107,1139,185,2009,198,181,23.52941176
108,1041,181,2009,198,181,0
109,1174,197,2009,198,181,94.11764706
110,1019,198,2009,198,181,100
111,1014,191,2009,198,181,58.82352941
112,1077,181,2009,198,181,0
113,1143,188,2009,198,181,41.17647059
114,1052,198,2009,198,181,100
115,1030,188,2009,198,181,41.17647059
116,1101,191,2009,198,181,58.82352941
117,1165,184,2009,198,181,17.64705882
118,1139,193,2009,198,181,70.58823529
119,1067,194,2009,198,181,76.47058824
120,1081,197,2009,198,181,94.11764706
121,1027,185,2010,197.75,180.5,26.08695652
122,1104,184,2010,197.75,180.5,20.28985507
123,1107,197,2010,197.75,180.5,95.65217391
124,1074,197,2010,197.75,180.5,95.65217391
125,1090,185,2010,197.75,180.5,26.08695652
126,1007,192,2010,197.75,180.5,66.66666667
127,1006,195,2010,197.75,180.5,84.05797101
128,1034,190,2010,197.75,180.5,55.07246377
129,1116,185,2010,197.75,180.5,26.08695652
130,1000,193,2010,197.75,180.5,72.46376812
131,1072,191,2010,197.75,180.5,60.86956522
132,1088,190,2010,197.75,180.5,55.07246377
133,1087,197,2010,197.75,180.5,95.65217391
134,1009,182,2010,197.75,180.5,8.695652174
135,1140,188,2010,197.75,180.5,43.47826087
136,1156,184,2010,197.75,180.5,20.28985507
137,1154,187,2010,197.75,180.5,37.68115942
138,1050,194,2010,197.75,180.5,78.26086957
139,1031,181,2010,197.75,180.5,2.898550725
140,1076,189,2011,198,187.25,16.27906977
141,1091,197,2011,198,187.25,90.69767442
142,1078,196,2011,198,187.25,81.39534884
143,1128,188,2011,198,187.25,6.976744186
144,1148,196,2011,198,187.25,81.39534884
145,1007,197,2011,198,187.25,90.69767442
146,1074,190,2011,198,187.25,25.58139535
147,1007,198,2011,198,187.25,100
148,1104,196,2011,198,187.25,81.39534884
149,1094,196,2011,198,187.25,81.39534884
150,1125,198,2011,198,187.25,100
151,1043,195,2011,198,187.25,72.09302326
152,1144,197,2011,198,187.25,90.69767442
153,1053,189,2011,198,187.25,16.27906977
154,1046,189,2011,198,187.25,16.27906977
155,1174,194,2011,198,187.25,62.79069767
156,1046,188,2011,198,187.25,6.976744186
157,1035,188,2011,198,187.25,6.976744186
158,1095,189,2011,198,187.25,16.27906977
159,1090,196,2011,198,187.25,81.39534884
160,1076,192,2011,198,187.25,44.18604651
161,1111,190,2011,198,187.25,25.58139535
162,1146,197,2011,198,187.25,90.69767442
163,1004,198,2011,198,187.25,100
164,1101,196,2011,198,187.25,81.39534884
165,1113,194,2011,198,187.25,62.79069767
166,1012,194,2011,198,187.25,62.79069767
167,1094,190,2011,198,187.25,25.58139535
168,1056,188,2011,198,187.25,6.976744186
169,1154,193,2011,198,187.25,53.48837209
170,1161,196,2011,198,187.25,81.39534884
171,1063,193,2011,198,187.25,53.48837209
172,1074,191,2011,198,187.25,34.88372093
173,1117,191,2011,198,187.25,34.88372093
174,1114,190,2011,198,187.25,25.58139535
175,1020,192,2011,198,187.25,44.18604651
176,1035,198,2011,198,187.25,100
177,1063,193,2011,198,187.25,53.48837209
178,1160,189,2011,198,187.25,16.27906977
179,1136,192,2011,198,187.25,44.18604651
180,1089,197,2011,198,187.25,90.69767442
181,1113,194,2012,198.25,189.75,50
182,1101,193,2012,198.25,189.75,38.23529412
183,1144,193,2012,198.25,189.75,38.23529412
184,1044,198,2012,198.25,189.75,97.05882353
185,1034,193,2012,198.25,189.75,38.23529412
186,1168,196,2012,198.25,189.75,73.52941176
187,1149,196,2012,198.25,189.75,73.52941176
188,1023,190,2012,198.25,189.75,2.941176471
189,1051,195,2012,198.25,189.75,61.76470588
190,1147,198,2012,198.25,189.75,97.05882353
191,1096,195,2012,198.25,189.75,61.76470588
192,1058,194,2012,198.25,189.75,50
193,1025,191,2012,198.25,189.75,14.70588235
194,1086,198,2012,198.25,189.75,97.05882353
195,1149,196,2012,198.25,189.75,73.52941176
196,1124,197,2012,198.25,189.75,85.29411765
197,1029,196,2012,198.25,189.75,73.52941176
198,1030,198,2012,198.25,189.75,97.05882353
199,1156,197,2012,198.25,189.75,85.29411765
