Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1153,199,2007,199,181.25,100
2,1105,194,2007,199,181.25,71.83098592
3,1157,193,2007,199,181.25,66.1971831
4,1101,198,2007,199,181.25,94.36619718
5,1113,186,2007,199,181.25,26.76056338
6,1013,194,2007,199,181.25,71.83098592
7,1069,185,2007,199,181.25,21.12676056
8,1087,197,2007,199,181.25,88.73239437
9,1139,198,2007,199,181.25,94.36619718
10,1045,185,2007,199,181.25,21.12676056
11,1005,190,2007,199,181.25,49.29577465
12,1174,189,2007,199,181.25,43.66197183
13,1084,194,2007,199,181.25,71.83098592
14,1020,190,2007,199,181.25,49.29577465
15,1124,190,2007,199,181.25,49.29577465
16,1105,190,2007,199,181.25,49.29577465
17,1078,193,2007,199,181.25,66.1971831
18,1170,194,2007,199,181.25,71.83098592
19,1034,186,2007,199,181.25,26.76056338
20,1035,197,2007,199,181.25,88.73239437
21,1084,189,2007,199,181.25,43.66197183
22,1108,194,2007,199,181.25,71.83098592
23,1177,197,2007,199,181.25,88.73239437
24,1151,183,2007,199,181.25,9.85915493
25,1154,196,2007,199,181.25,83.09859155
26,1149,182,2007,199,181.25,4.225352113
27,1064,187,2007,199,181.25,32.3943662
28,1116,196,2007,199,181.25,83.09859155
29,1037,184,2007,199,181.25,15.49295775
30,1163,197,2007,199,181.25,88.73239437
31,1130,199,2007,199,181.25,100
32,1074,183,2007,199,181.25,9.85915493
33,1127,184,2007,199,181.25,15.49295775
34,1148,183,2007,199,181.25,9.85915493
35,1131,190,2007,199,181.25,49.29577465
36,1165,190,2007,199,181.25,49.29577465
37,1146,193,2007,199,181.25,66.1971831
38,1103,198,2007,199,181.25,94.36619718
39,1029,198,2007,199,181.25,94.36619718
40,1071,188,2008,199.5,186.25,13.20754717
41,1152,198,2008,199.5,186.25,88.67924528
42,1059,189,2008,199.5,186.25,20.75471698
43,1089,193,2008,199.5,186.25,50.94339623
44,1175,196,2008,199.5,186.25,73.58490566
45,1075,189,2008,199.5,186.25,20.75471698
46,1084,195,2008,199.5,186.25,66.03773585
47,1039,189,2008,199.5,186.25,20.75471698
48,1118,190,2008,199.5,186.25,28.30188679
49,1145,195,2008,199.5,186.25,66.03773585
50,1077,194,2008,199.5,186.25,58.49056604
51,1068,190,2008,199.5,186.25,28.30188679
52,1038,191,2008,199.5,186.25,35.8490566
53,1141,187,2008,199.5,186.25,5.660377358
54,1100,192,2008,199.5,186.25,43.39622642
55,1020,193,2008,199.5,186.25,50.94339623
56,1051,190,2008,199.5,186.25,28.30188679
57,1109,192,2008,199.5,186.25,43.39622642
58,1058,199,2008,199.5,186.25,96.22641509
59,1099,193,2008,199.5,186.25,50.94339623
60,1085,198,2008,199.5,186.25,88.67924528
61,1173,194,2008,199.5,186.25,58.49056604
62,1069,192,2008,199.5,186.25,43.39622642
63,1177,193,2008,199.5,186.25,50.94339623
64,1170,192,2008,199.5,186.25,43.39622642
65,1085,199,2008,199.5,186.25,96.22641509
66,1053,197,2008,199.5,186.25,81.13207547
67,1057,192,2008,199.5,186.25,43.39622642
68,1070,196,2008,199.5,186.25,73.58490566
69,1037,198,2008,199.5,186.25,88.67924528
70,1015,193,2008,199.5,186.25,50.94339623
71,1025,194,2008,199.5,186.25,58.49056604
72,1056,194,2008,199.5,186.25,58.49056604
73,1012,193,2008,199.5,186.25,50.94339623
74,1046,190,2008,199.5,186.25,28.30188679
75,1158,190,2008,199.5,186.25,28.30188679
76,1013,193,2008,199.5,186.25,50.94339623
77,1042,189,2008,199.5,186.25,20.75471698
78,1054,188,2008,199.5,186.25,13.20754717
79,1000,188,2008,199.5,186.25,13.20754717
80,1067,195,2009,199.25,193.25,29.16666667
81,1070,194,2009,199.25,193.25,12.5
82,1008,199,2009,199.25,193.25,95.83333333
83,1077,198,2009,199.25,193.25,79.16666667
84,1151,195,2009,199.25,193.25,29.16666667
85,1133,198,2009,199.25,193.25,79.16666667
86,1068,199,2009,199.25,193.25,95.83333333
87,1151,195,2009,199.25,193.25,29.16666667
88,1143,197,2009,199.25,193.25,62.5
89,1051,197,2009,199.25,193.25,62.5
90,1151,198,2009,199.25,193.25,79.16666667
91,1037,195,2009,199.25,193.25,29.16666667
92,1033,194,2009,199.25,193.25,12.5
93,1083,197,2009,199.25,193.25,62.5
94,1121,195,2009,199.25,193.25,29.16666667
95,1170,195,2009,199.25,193.25,29.16666667
96,1024,195,2009,199.25,193.25,29.16666667
97,1092,197,2009,199.25,193.25,62.5
98,1097,198,2009,199.25,193.25,79.16666667
99,1096,197,2009,199.25,193.25,62.5
100,1152,197,2009,199.25,193.25,62.5
101,1138,197,2009,199.25,193.25,62.5
102,1066,194,2009,199.25,193.25,12.5
103,1108,197,2009,199.25,193.25,62.5
104,1040,199,2009,199.25,193.25,95.83333333
105,1122,198,2009,199.25,193.25,79.16666667
106,1096,197,2009,199.25,193.25,62.5
107,1093,195,2009,199.25,193.25,29.16666667
108,1133,199,2009,199.25,193.25,95.83333333
109,1104,198,2009,199.25,193.25,79.16666667
110,1025,195,2009,199.25,193.25,29.16666667
111,1043,196,2009,199.25,193.25,45.83333333
112,1000,194,2009,199.25,193.25,12.5
113,1044,199,2009,199.25,193.25,95.83333333
114,1131,197,2009,199.25,193.25,62.5
115,1004,198,2009,199.25,193.25,79.16666667
116,1176,197,2009,199.25,193.25,62.5
117,1010,198,2009,199.25,193.25,79.16666667
118,1017,199,2009,199.25,193.25,95.83333333
119,1153,196,2009,199.25,193.25,45.83333333
120,1035,197,2010,199.25,189.25,77.5
121,1114,193,2010,199.25,189.25,37.5
122,1127,196,2010,199.25,189.25,67.5
123,1170,193,2010,199.25,189.25,37.5
124,1077,198,2010,199.25,189.25,87.5
125,1150,191,2010,199.25,189.25,17.5
126,1063,196,2010,199.25,189.25,67.5
127,1174,193,2010,199.25,189.25,37.5
128,1009,199,2010,199.25,189.25,97.5
129,1097,198,2010,199.25,189.25,87.5
130,1038,194,2010,199.25,189.25,47.5
131,1123,199,2010,199.25,189.25,97.5
132,1063,194,2010,199.25,189.25,47.5
133,1036,195,2010,199.25,189.25,57.5
134,1137,194,2010,199.25,189.25,47.5
135,1175,191,2010,199.25,189.25,17.5
136,1156,196,2010,199.25,189.25,67.5
137,1053,198,2010,199.25,189.25,87.5
138,1172,196,2010,199.25,189.25,67.5
139,1096,196,2010,199.25,189.25,67.5
140,1032,194,2010,199.25,189.25,47.5
141,1140,199,2011,199.25,188.25,97.72727273
142,1103,192,2011,199.25,188.25,34.09090909
143,1055,199,2011,199.25,188.25,97.72727273
144,1075,193,2011,199.25,188.25,43.18181818
145,1060,193,2011,199.25,188.25,43.18181818
146,1101,190,2011,199.25,188.25,15.90909091
147,1032,191,2011,199.25,188.25,25
148,1008,193,2011,199.25,188.25,43.18181818
149,1091,196,2011,199.25,188.25,70.45454545
150,1098,191,2011,199.25,188.25,25
151,1169,192,2011,199.25,188.25,34.09090909
152,1099,197,2011,199.25,188.25,79.54545455
153,1124,198,2011,199.25,188.25,88.63636364
154,1040,189,2011,199.25,188.25,6.818181818
155,1172,197,2011,199.25,188.25,79.54545455
156,1126,196,2011,199.25,188.25,70.45454545
157,1079,197,2011,199.25,188.25,79.54545455
158,1032,189,2011,199.25,188.25,6.818181818
159,1112,192,2011,199.25,188.25,34.09090909
160,1006,192,2012,199.25,189,29.26829268
161,1097,197,2012,199.25,189,78.04878049
162,1076,194,2012,199.25,189,48.7804878
163,1005,196,2012,199.25,189,68.29268293
164,1122,194,2012,199.25,189,48.7804878
165,1067,190,2012,199.25,189,9.756097561
166,1020,189,2012,199.25,189,0
167,1065,195,2012,199.25,189,58.53658537
168,1149,189,2012,199.25,189,0
169,1042,191,2012,199.25,189,19.51219512
170,1063,197,2012,199.25,189,78.04878049
171,1169,193,2012,199.25,189,39.02439024
172,1112,194,2012,199.25,189,48.7804878
173,1093,191,2012,199.25,189,19.51219512
174,1128,193,2012,199.25,189,39.02439024
175,1106,196,2012,199.25,189,68.29268293
176,1019,193,2012,199.25,189,39.02439024
177,1075,196,2012,199.25,189,68.29268293
178,1094,189,2012,199.25,189,0
179,1080,189,2012,199.25,189,0
180,1001,194,2012,199.25,189,48.7804878
181,1067,189,2012,199.25,189,0
182,1110,195,2012,199.25,189,58.53658537
