Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1009,192,2007,197.25,182,65.57377049
2,1091,184,2007,197.25,182,13.1147541
3,1147,197,2007,197.25,182,98.36065574
4,1015,194,2007,197.25,182,78.68852459
5,1041,184,2007,197.25,182,13.1147541
6,1011,182,2007,197.25,182,0
7,1091,189,2007,197.25,182,45.90163934
8,1028,197,2007,197.25,182,98.36065574
9,1154,189,2007,197.25,182,45.90163934
10,1157,189,2007,197.25,182,45.90163934
11,1079,194,2007,197.25,182,78.68852459
12,1020,189,2007,197.25,182,45.90163934
13,1119,191,2007,197.25,182,59.01639344
14,1127,197,2007,197.25,182,98.36065574
15,1144,191,2007,197.25,182,59.01639344
16,1032,193,2007,197.25,182,72.13114754
17,1013,193,2007,197.25,182,72.13114754
18,1058,189,2007,197.25,182,45.90163934
19,1128,197,2007,197.25,182,98.36065574
20,1062,190,2007,197.25,182,52.45901639
21,1017,194,2007,197.25,182,78.68852459
22,1076,185,2007,197.25,182,19.67213115
23,1114,197,2007,197.25,182,98.36065574
24,1062,184,2007,197.25,182,13.1147541
25,1011,194,2007,197.25,182,78.68852459
26,1070,196,2007,197.25,182,91.80327869
27,1050,193,2007,197.25,182,72.13114754
28,1126,195,2007,197.25,182,85.24590164
29,1151,187,2007,197.25,182,32.78688525
30,1121,195,2007,197.25,182,85.24590164
31,1113,187,2007,197.25,182,32.78688525
32,1079,196,2007,197.25,182,91.80327869
33,1070,190,2007,197.25,182,52.45901639
34,1088,196,2007,197.25,182,91.80327869
35,1112,191,2007,197.25,182,59.01639344
36,1175,194,2007,197.25,182,78.68852459
37,1171,190,2007,197.25,182,52.45901639
38,1166,184,2007,197.25,182,13.1147541
39,1080,193,2007,197.25,182,72.13114754
40,1055,182,2007,197.25,182,0
41,1105,191,2008,198.25,182.75,53.22580645
42,1020,187,2008,198.25,182.75,27.41935484
43,1125,194,2008,198.25,182.75,72.58064516
44,1035,185,2008,198.25,182.75,14.51612903
45,1029,191,2008,198.25,182.75,53.22580645
46,1071,198,2008,198.25,182.75,98.38709677
47,1090,188,2008,198.25,182.75,33.87096774
48,1012,186,2008,198.25,182.75,20.96774194
49,1055,186,2008,198.25,182.75,20.96774194
50,1000,191,2008,198.25,182.75,53.22580645
51,1062,194,2008,198.25,182.75,72.58064516
52,1158,189,2008,198.25,182.75,40.32258065
53,1169,197,2008,198.25,182.75,91.93548387
54,1168,195,2008,198.25,182.75,79.03225806
55,1165,190,2008,198.25,182.75,46.77419355
56,1068,184,2008,198.25,182.75,8.064516129
57,1015,192,2008,198.25,182.75,59.67741935
58,1084,195,2008,198.25,182.75,79.03225806
59,1169,195,2008,198.25,182.75,79.03225806
60,1083,191,2008,198.25,182.75,53.22580645
61,1035,189,2008,198.25,182.75,40.32258065
62,1032,195,2008,198.25,182.75,79.03225806
63,1078,198,2008,198.25,182.75,98.38709677
64,1168,186,2008,198.25,182.75,20.96774194
65,1122,197,2008,198.25,182.75,91.93548387
66,1049,192,2008,198.25,182.75,59.67741935
67,1070,185,2008,198.25,182.75,14.51612903
68,1106,186,2008,198.25,182.75,20.96774194
69,1091,191,2008,198.25,182.75,53.22580645
70,1034,187,2008,198.25,182.75,27.41935484
71,1122,187,2008,198.25,182.75,27.41935484
72,1111,184,2008,198.25,182.75,8.064516129
73,1124,197,2008,198.25,182.75,91.93548387
74,1115,187,2008,198.25,182.75,27.41935484
75,1067,194,2008,198.25,182.75,72.58064516
76,1004,188,2008,198.25,182.75,33.87096774
77,1163,197,2008,198.25,182.75,91.93548387
78,1082,183,2008,198.25,182.75,1.612903226
79,1014,189,2008,198.25,182.75,40.32258065
80,1171,191,2009,198.75,189.25,18.42105263
81,1142,191,2009,198.75,189.25,18.42105263
82,1169,195,2009,198.75,189.25,60.52631579
83,1010,196,2009,198.75,189.25,71.05263158
84,1113,198,2009,198.75,189.25,92.10526316
85,1115,192,2009,198.75,189.25,28.94736842
86,1147,191,2009,198.75,189.25,18.42105263
87,1161,191,2009,198.75,189.25,18.42105263
88,1078,194,2009,198.75,189.25,50
89,1055,192,2009,198.75,189.25,28.94736842
90,1009,192,2009,198.75,189.25,28.94736842
91,1034,195,2009,198.75,189.25,60.52631579
92,1067,191,2009,198.75,189.25,18.42105263
93,1046,195,2009,198.75,189.25,60.52631579
94,1092,192,2009,198.75,189.25,28.94736842
95,1155,192,2009,198.75,189.25,28.94736842
96,1004,194,2009,198.75,189.25,50
97,1048,190,2009,198.75,189.25,7.894736842
98,1163,191,2009,198.75,189.25,18.42105263
99,1133,193,2009,198.75,189.25,39.47368421
100,1000,190,2009,198.75,189.25,7.894736842
101,1052,198,2009,198.75,189.25,92.10526316
102,1024,192,2009,198.75,189.25,28.94736842
103,1106,192,2009,198.75,189.25,28.94736842
104,1148,193,2009,198.75,189.25,39.47368421
105,1168,193,2009,198.75,189.25,39.47368421
106,1005,193,2009,198.75,189.25,39.47368421
107,1042,192,2009,198.75,189.25,28.94736842
108,1017,198,2009,198.75,189.25,92.10526316
109,1163,194,2009,198.75,189.25,50
110,1165,196,2009,198.5,186.75,78.72340426
111,1160,192,2009,198.5,186.75,44.68085106
112,1008,190,2009,198.5,186.75,27.65957447
113,1126,194,2009,198.5,186.75,61.70212766
114,1162,187,2009,198.5,186.75,2.127659574
115,1063,192,2009,198.5,186.75,44.68085106
116,1108,197,2009,198.5,186.75,87.23404255
117,1027,187,2009,198.5,186.75,2.127659574
