Application ID,Mark_score,cutoff,Year,Max,Min,Result
1,1070,191,2007,197.25,186,44.44444444
2,1154,197,2007,197.25,186,97.77777778
3,1030,197,2007,197.25,186,97.77777778
4,1131,190,2007,197.25,186,35.55555556
5,1133,186,2007,197.25,186,0
6,1150,187,2007,197.25,186,8.888888889
7,1080,195,2007,197.25,186,80
8,1078,187,2007,197.25,186,8.888888889
9,1077,195,2007,197.25,186,80
10,1043,194,2007,197.25,186,71.11111111
11,1073,196,2007,197.25,186,88.88888889
12,1074,188,2007,197.25,186,17.77777778
13,1089,189,2007,197.25,186,26.66666667
14,1064,197,2007,197.25,186,97.77777778
15,1020,189,2007,197.25,186,26.66666667
16,1108,187,2007,197.25,186,8.888888889
17,1054,190,2007,197.25,186,35.55555556
18,1118,191,2007,197.25,186,44.44444444
19,1121,192,2007,197.25,186,53.33333333
20,1101,192,2007,197.25,186,53.33333333
21,1163,189,2007,197.25,186,26.66666667
22,1161,187,2007,197.25,186,8.888888889
23,1156,187,2007,197.25,186,8.888888889
24,1108,197,2007,197.25,186,97.77777778
25,1170,194,2007,197.25,186,71.11111111
26,1148,194,2007,197.25,186,71.11111111
27,1093,196,2007,197.25,186,88.88888889
28,1058,196,2007,197.25,186,88.88888889
29,1096,186,2007,197.25,186,0
30,1061,196,2007,197.25,186,88.88888889
31,1042,193,2008,198.75,190.25,32.35294118
32,1165,198,2008,198.75,190.25,91.17647059
33,1150,195,2008,198.75,190.25,55.88235294
34,1097,196,2008,198.75,190.25,67.64705882
35,1178,197,2008,198.75,190.25,79.41176471
36,1161,197,2008,198.75,190.25,79.41176471
37,1172,192,2008,198.75,190.25,20.58823529
38,1102,193,2008,198.75,190.25,32.35294118
39,1179,194,2008,198.75,190.25,44.11764706
40,1110,195,2008,198.75,190.25,55.88235294
41,1078,194,2008,198.75,190.25,44.11764706
42,1048,196,2008,198.75,190.25,67.64705882
43,1022,191,2008,198.75,190.25,8.823529412
44,1180,194,2008,198.75,190.25,44.11764706
45,1073,194,2008,198.75,190.25,44.11764706
46,1060,192,2008,198.75,190.25,20.58823529
47,1093,193,2008,198.75,190.25,32.35294118
48,1066,193,2008,198.75,190.25,32.35294118
49,1022,191,2008,198.75,190.25,8.823529412
50,1109,191,2008,198.75,190.25,8.823529412
51,1010,194,2008,198.75,190.25,44.11764706
52,1122,191,2008,198.75,190.25,8.823529412
53,1089,194,2008,198.75,190.25,44.11764706
54,1031,197,2008,198.75,190.25,79.41176471
55,1085,194,2008,198.75,190.25,44.11764706
56,1109,194,2008,198.75,190.25,44.11764706
57,1174,197,2008,198.75,190.25,79.41176471
58,1162,193,2008,198.75,190.25,32.35294118
59,1062,198,2008,198.75,190.25,91.17647059
60,1021,196,2008,198.75,190.25,67.64705882
61,1022,196,2009,199,187.25,74.46808511
62,1069,196,2009,199,187.25,74.46808511
63,1115,197,2009,199,187.25,82.9787234
64,1175,194,2009,199,187.25,57.44680851
65,1012,195,2009,199,187.25,65.95744681
66,1112,196,2009,199,187.25,74.46808511
67,1044,191,2009,199,187.25,31.91489362
68,1150,195,2009,199,187.25,65.95744681
69,1035,190,2009,199,187.25,23.40425532
70,1141,192,2009,199,187.25,40.42553191
71,1071,189,2009,199,187.25,14.89361702
72,1046,190,2009,199,187.25,23.40425532
73,1057,196,2009,199,187.25,74.46808511
74,1093,198,2009,199,187.25,91.4893617
75,1074,195,2009,199,187.25,65.95744681
76,1088,192,2009,199,187.25,40.42553191
77,1053,195,2009,199,187.25,65.95744681
78,1051,192,2009,199,187.25,40.42553191
79,1028,197,2009,199,187.25,82.9787234
80,1029,193,2009,199,187.25,48.93617021
81,1086,188,2009,199,187.25,6.382978723
82,1159,189,2009,199,187.25,14.89361702
83,1116,199,2009,199,187.25,100
84,1134,194,2009,199,187.25,57.44680851
85,1157,188,2009,199,187.25,6.382978723
86,1164,195,2009,199,187.25,65.95744681
87,1132,189,2009,199,187.25,14.89361702
88,1110,197,2009,199,187.25,82.9787234
89,1027,190,2009,199,187.25,23.40425532
90,1055,196,2009,199,187.25,74.46808511
91,1159,195,2010,197.75,181,83.58208955
92,1081,195,2010,197.75,181,83.58208955
93,1105,187,2010,197.75,181,35.82089552
94,1150,195,2010,197.75,181,83.58208955
95,1045,193,2010,197.75,181,71.64179104
96,1132,181,2010,197.75,181,0
97,1140,194,2010,197.75,181,77.6119403
98,1155,184,2010,197.75,181,17.91044776
99,1025,194,2010,197.75,181,77.6119403
100,1091,194,2010,197.75,181,77.6119403
101,1070,197,2010,197.75,181,95.52238806
102,1083,187,2010,197.75,181,35.82089552
103,1141,189,2010,197.75,181,47.76119403
104,1119,195,2010,197.75,181,83.58208955
105,1086,181,2010,197.75,181,0
106,1047,195,2010,197.75,181,83.58208955
107,1099,181,2010,197.75,181,0
108,1164,197,2010,197.75,181,95.52238806
109,1133,181,2010,197.75,181,0
110,1140,194,2010,197.75,181,77.6119403
111,1032,194,2010,197.75,181,77.6119403
112,1120,187,2010,197.75,181,35.82089552
113,1176,193,2010,197.75,181,71.64179104
114,1096,182,2010,197.75,181,5.970149254
115,1089,194,2010,197.75,181,77.6119403
116,1169,195,2010,197.75,181,83.58208955
117,1158,190,2010,197.75,181,53.73134328
118,1109,195,2010,197.75,181,83.58208955
119,1120,196,2010,197.75,181,89.55223881
120,1151,193,2010,197.75,181,71.64179104
121,1169,196,2011,198,180,88.88888889
122,1105,188,2011,198,180,44.44444444
123,1170,193,2011,198,180,72.22222222
124,1062,198,2011,198,180,100
125,1179,194,2011,198,180,77.77777778
126,1120,191,2011,198,180,61.11111111
127,1124,184,2011,198,180,22.22222222
128,1167,180,2011,198,180,0
129,1081,187,2011,198,180,38.88888889
130,1171,192,2011,198,180,66.66666667
131,1086,186,2011,198,180,33.33333333
132,1074,186,2011,198,180,33.33333333
133,1166,180,2011,198,180,0
134,1045,193,2011,198,180,72.22222222
135,1128,182,2011,198,180,11.11111111
136,1027,184,2011,198,180,22.22222222
137,1069,183,2011,198,180,16.66666667
138,1108,198,2011,198,180,100
139,1018,198,2011,198,180,100
140,1071,182,2011,198,180,11.11111111
141,1156,196,2011,198,180,88.88888889
142,1038,183,2011,198,180,16.66666667
143,1088,183,2011,198,180,16.66666667
144,1031,190,2011,198,180,55.55555556
145,1053,196,2011,198,180,88.88888889
146,1178,183,2011,198,180,16.66666667
147,1149,193,2011,198,180,72.22222222
148,1159,182,2011,198,180,11.11111111
149,1060,196,2011,198,180,88.88888889
150,1088,180,2011,198,180,0
151,1145,189,2012,198,180,50
152,1083,190,2012,198,180,55.55555556
153,1176,190,2012,198,180,55.55555556
154,1018,187,2012,198,180,38.88888889
155,1058,189,2012,198,180,50
156,1145,198,2012,198,180,100
157,1078,195,2012,198,180,83.33333333
158,1164,183,2012,198,180,16.66666667
159,1069,183,2012,198,180,16.66666667
160,1100,180,2012,198,180,0
161,1031,184,2012,198,180,22.22222222
162,1118,181,2012,198,180,5.555555556
163,1166,184,2012,198,180,22.22222222
164,1180,186,2012,198,180,33.33333333
165,1083,189,2012,198,180,50
166,1022,195,2012,198,180,83.33333333
167,1053,189,2012,198,180,50
168,1043,197,2012,198,180,94.44444444
169,1026,183,2012,198,180,16.66666667
170,1119,197,2012,198,180,94.44444444
171,1144,195,2012,198,180,83.33333333
172,1174,180,2012,198,180,0
173,1061,196,2012,198,180,88.88888889
174,1015,185,2012,198,180,27.77777778
175,1109,187,2012,198,180,38.88888889
176,1061,186,2012,198,180,33.33333333
177,1024,197,2012,198,180,94.44444444
178,1179,194,2012,198,180,77.77777778
179,1158,185,2012,198,180,27.77777778
180,1148,190,2012,198,180,55.55555556
181,1093,184,2013,197.25,183,7.01754386
182,1127,191,2013,197.25,183,56.14035088
183,1152,183,2013,197.25,183,0
184,1069,185,2013,197.25,183,14.03508772
185,1090,188,2013,197.25,183,35.0877193
186,1133,183,2013,197.25,183,0
187,1104,189,2013,197.25,183,42.10526316
188,1033,195,2013,197.25,183,84.21052632
189,1130,185,2013,197.25,183,14.03508772
190,1172,186,2013,197.25,183,21.05263158
191,1089,185,2013,197.25,183,14.03508772
192,1112,197,2013,197.25,183,98.24561404
193,1177,195,2013,197.25,183,84.21052632
194,1065,188,2013,197.25,183,35.0877193
195,1085,192,2013,197.25,183,63.15789474
196,1051,186,2013,197.25,183,21.05263158
197,1071,197,2013,197.25,183,98.24561404
198,1034,186,2013,197.25,183,21.05263158
199,1077,187,2013,197.25,183,28.07017544
200,1093,194,2013,197.25,183,77.19298246
201,1147,184,2013,197.25,183,7.01754386
202,1010,188,2013,197.25,183,35.0877193
203,1061,192,2013,197.25,183,63.15789474
204,1095,184,2013,197.25,183,7.01754386
205,1034,188,2013,197.25,183,35.0877193
206,1151,196,2013,197.25,183,91.22807018
207,1100,193,2013,197.25,183,70.1754386
208,1103,197,2013,197.25,183,98.24561404
209,1140,188,2013,197.25,183,35.0877193
210,1064,184,2013,197.25,183,7.01754386
211,1087,187,2014,197,180,41.17647059
212,1011,193,2014,197,180,76.47058824
213,1058,188,2014,197,180,47.05882353
214,1160,182,2014,197,180,11.76470588
215,1169,181,2014,197,180,5.882352941
216,1058,196,2014,197,180,94.11764706
217,1054,181,2014,197,180,5.882352941
218,1142,196,2014,197,180,94.11764706
219,1051,186,2014,197,180,35.29411765
220,1149,186,2014,197,180,35.29411765
221,1071,182,2014,197,180,11.76470588
222,1069,188,2014,197,180,47.05882353
223,1108,185,2014,197,180,29.41176471
224,1119,187,2014,197,180,41.17647059
225,1079,194,2014,197,180,82.35294118
226,1146,181,2014,197,180,5.882352941
227,1045,193,2014,197,180,76.47058824
228,1128,193,2014,197,180,76.47058824
229,1080,197,2014,197,180,100
230,1154,197,2014,197,180,100
231,1177,197,2014,197,180,100
232,1040,193,2014,197,180,76.47058824
233,1065,193,2014,197,180,76.47058824
234,1010,188,2014,197,180,47.05882353
235,1137,187,2014,197,180,41.17647059
236,1156,183,2014,197,180,17.64705882
237,1020,196,2014,197,180,94.11764706
238,1047,195,2014,197,180,88.23529412
239,1146,186,2014,197,180,35.29411765
240,1038,190,2014,197,180,58.82352941
241,1084,187,2015,198.75,185,14.54545455
242,1106,191,2015,198.75,185,43.63636364
243,1114,189,2015,198.75,185,29.09090909
244,1022,186,2015,198.75,185,7.272727273
245,1032,193,2015,198.75,185,58.18181818
246,1080,191,2015,198.75,185,43.63636364
247,1027,185,2015,198.75,185,0
248,1072,193,2015,198.75,185,58.18181818
249,1114,194,2015,198.75,185,65.45454545
250,1150,186,2015,198.75,185,7.272727273
251,1050,195,2015,198.75,185,72.72727273
252,1173,193,2015,198.75,185,58.18181818
253,1149,196,2015,198.75,185,80
254,1113,185,2015,198.75,185,0
255,1178,196,2015,198.75,185,80
256,1041,192,2015,198.75,185,50.90909091
257,1026,191,2015,198.75,185,43.63636364
258,1172,186,2015,198.75,185,7.272727273
259,1060,189,2015,198.75,185,29.09090909
260,1033,191,2015,198.75,185,43.63636364
261,1163,191,2015,198.75,185,43.63636364
262,1068,196,2015,198.75,185,80
263,1032,192,2015,198.75,185,50.90909091
264,1171,186,2015,198.75,185,7.272727273
265,1078,187,2015,198.75,185,14.54545455
266,1075,196,2015,198.75,185,80
267,1067,186,2015,198.75,185,7.272727273
268,1169,191,2015,198.75,185,43.63636364
269,1102,197,2015,198.75,185,87.27272727
270,1114,185,2015,198.75,185,0
271,1117,197,2016,197.75,187.75,92.5
272,1134,192,2016,197.75,187.75,42.5
273,1180,188,2016,197.75,187.75,2.5
274,1035,194,2016,197.75,187.75,62.5
275,1096,196,2016,197.75,187.75,82.5
276,1033,195,2016,197.75,187.75,72.5
277,1046,188,2016,197.75,187.75,2.5
278,1138,189,2016,197.75,187.75,12.5
279,1120,191,2016,197.75,187.75,32.5
280,1063,193,2016,197.75,187.75,52.5
281,1100,193,2016,197.75,187.75,52.5
282,1122,192,2016,197.75,187.75,42.5
283,1036,196,2016,197.75,187.75,82.5
284,1161,197,2016,197.75,187.75,92.5
285,1157,188,2016,197.75,187.75,2.5
286,1032,196,2016,197.75,187.75,82.5
287,1092,188,2016,197.75,187.75,2.5
288,1024,190,2016,197.75,187.75,22.5
289,1019,194,2016,197.75,187.75,62.5
290,1061,192,2016,197.75,187.75,42.5
291,1134,189,2016,197.75,187.75,12.5
292,1086,196,2016,197.75,187.75,82.5
293,1142,193,2016,197.75,187.75,52.5
294,1141,197,2016,197.75,187.75,92.5
295,1131,191,2016,197.75,187.75,32.5
296,1099,191,2016,197.75,187.75,32.5
297,1124,188,2016,197.75,187.75,2.5
298,1066,196,2016,197.75,187.75,82.5
299,1106,189,2016,197.75,187.75,12.5
300,1069,191,2016,197.75,187.75,32.5
301,1047,194,2017,197.25,185,73.46938776
302,1013,197,2017,197.25,185,97.95918367
303,1058,194,2017,197.25,185,73.46938776
304,1140,197,2017,197.25,185,97.95918367
305,1059,190,2017,197.25,185,40.81632653
306,1060,197,2017,197.25,185,97.95918367
307,1106,191,2017,197.25,185,48.97959184
308,1072,190,2017,197.25,185,40.81632653
309,1036,195,2017,197.25,185,81.63265306
310,1123,191,2017,197.25,185,48.97959184
311,1109,187,2017,197.25,185,16.32653061
312,1016,185,2017,197.25,185,0
313,1122,194,2017,197.25,185,73.46938776
314,1102,189,2017,197.25,185,32.65306122
315,1119,191,2017,197.25,185,48.97959184
316,1167,195,2017,197.25,185,81.63265306
317,1071,185,2017,197.25,185,0
318,1100,192,2017,197.25,185,57.14285714
319,1049,193,2017,197.25,185,65.30612245
320,1120,193,2017,197.25,185,65.30612245
321,1010,190,2017,197.25,185,40.81632653
322,1095,196,2017,197.25,185,89.79591837
323,1014,191,2017,197.25,185,48.97959184
324,1039,186,2017,197.25,185,8.163265306
325,1169,192,2017,197.25,185,57.14285714
326,1137,187,2018,197,180,41.17647059
327,1173,180,2018,197,180,0
328,1034,180,2018,197,180,0
329,1152,193,2018,197,180,76.47058824
330,1095,195,2018,197,180,88.23529412
331,1063,190,2018,197,180,58.82352941
332,1035,183,2018,197,180,17.64705882
333,1048,183,2018,197,180,17.64705882
334,1086,194,2018,197,180,82.35294118
335,1096,187,2018,197,180,41.17647059
336,1083,195,2018,197,180,88.23529412
337,1110,196,2018,197,180,94.11764706
338,1013,181,2018,197,180,5.882352941
339,1091,195,2018,197,180,88.23529412
340,1132,187,2018,197,180,41.17647059
341,1178,189,2018,197,180,52.94117647
342,1072,185,2018,197,180,29.41176471
343,1167,184,2018,197,180,23.52941176
344,1016,189,2018,197,180,52.94117647
345,1101,195,2018,197,180,88.23529412
346,1126,193,2018,197,180,76.47058824
347,1081,190,2018,197,180,58.82352941
348,1100,182,2018,197,180,11.76470588
349,1111,195,2018,197,180,88.23529412
350,1154,194,2018,197,180,82.35294118
